clusterGeomorphIndex,count,mean,std,min,25%,50%,75%,max
1,79.0,-3.10927736057592,1.0691010322787873,-5.678333857676032,-3.800308430416493,-2.9568823725065254,-2.358714738014249,-0.3777975587156472
10,78.0,-3.663020646922363,1.1942416037537684,-6.06450900649173,-4.635510170969662,-3.401877537860133,-2.892889569312786,-1.3497830053703186
11,76.0,-3.391066490024296,1.2687157935065967,-6.029056118173631,-3.962567640181054,-3.269861084830599,-2.6374087551148016,-0.3256874482899614
12,79.0,-3.4432363049679404,1.260820049456944,-6.405084634407977,-4.275603565718325,-3.372948626003942,-2.6183984880707483,-0.025491811571813305
13,77.0,-3.6435527864995603,1.1998169451034584,-6.678294271634838,-4.574806950851109,-3.4042022417869084,-2.83474763370513,-0.5546022908744853
14,80.0,-3.3732943103583537,1.3453335692928172,-6.211213086528018,-4.432488403815325,-3.274729635645785,-2.6197058859884255,0.5014413523461971
15,74.0,-3.1478534455400755,1.7242621141923544,-6.06854241024366,-4.41648755040978,-3.405497386477305,-2.460671247084024,1.9304739091461691
16,223.0,-3.2748789495921686,1.1226529694326821,-6.246537798567855,-3.8346272548388476,-3.3181389282981297,-2.6092620642154793,0.09411384815465557
2,78.0,-3.272597867942548,1.004209047146744,-5.467593416256454,-3.758495474684287,-3.21807400323079,-2.6588957984902644,-1.0246178126416716
3,75.0,-3.223198104935871,1.051391594197175,-5.67856698027078,-3.466418220132444,-3.0734384720035086,-2.6853275609577345,-0.4692975664976944
4,81.0,-3.41836350085242,1.050420394694829,-5.768715684747937,-3.931940979215397,-3.3168504633966185,-2.8814492630508557,-1.3306918630051245
5,84.0,-3.4328275721841157,1.1038121154639897,-5.682940688335727,-4.054397352870502,-3.3182157172638016,-2.8108296508771895,-1.1705326595579177
6,82.0,-3.1691007805333746,1.0506965193867082,-5.841321589492332,-3.5944683678547498,-3.153352429556592,-2.554523138600149,-1.181653683311489
7,80.0,-3.516702817333659,1.2056874214344906,-5.564342930307075,-4.567866540227773,-3.4562435943753167,-2.7705596606803082,-0.8198084139881873
8,83.0,-3.6092331111914566,1.2296665174153039,-5.957755532911797,-4.5123144827196455,-3.5455924231380482,-2.6992189600245053,-1.085062605572896
9,80.0,-3.3481266479021783,1.1017956472563601,-5.646550723444648,-3.960461040831517,-3.240085715632854,-2.671854044904861,-0.540120016187703
