"","x"
"1",938.688888888889
"2",595.821111111111
"3",474.113333333333
"4",446.616666666667
"5",334.232222222222
"6",360.110555555556
"7",308.069444444444
"8",305.307222222222
"9",299.461111111111
"10",435.934444444444
"11",519.073888888889
"12",566.742777777778
"13",553.277222222222
"14",617.706111111111
"15",632.982222222222
"16",509.388888888889
"17",353.357222222222
"18",322.343888888889
"19",320.736666666667
"20",307.66
"21",325.130555555556
"22",574.317777777778
"23",898.1
"24",967.534444444444
"25",912.211111111111
"26",774.235
"27",601.881666666667
"28",578.479444444444
"29",514.547777777778
"30",392.438888888889
"31",281.711111111111
"32",277.536666666667
"33",303.149444444444
"34",291.561666666667
"35",293.355
"36",256.4
"37",247.314444444444
"38",250.32
"39",177.718333333333
"40",179.801666666667
"41",312.501111111111
"42",226.033333333333
"43",122.536666666667
"44",122.920555555556
"45",121.978333333333
"46",116.045555555556
"47",149.505
"48",134.378333333333
"49",125.891666666667
"50",122.58
"51",175.438888888889
"52",174.906666666667
"53",128.449444444444
"54",101.443888888889
"55",105.822777777778
"56",121.75
"57",133.060555555556
"58",109.661111111111
"59",136.607222222222
"60",157.567777777778
"61",150.098888888889
"62",210.483333333333
"63",105.287222222222
"64",78.2511111111111
"65",80.8988888888889
"66",117.237777777778
"67",142.090555555556
"68",123.722777777778
"69",155.678888888889
"70",133.523333333333
"71",125.651666666667
"72",185.418333333333
"73",128.682222222222
"74",118.598333333333
"75",170.637222222222
"76",498.887777777778
"77",729.977777777778
"78",561.742222222222
"79",294.303333333333
"80",267.445555555556
"81",143.172777777778
"82",164.106666666667
"83",536.852222222222
"84",382.631111111111
"85",293.072777777778
"86",333.986666666667
"87",476.352222222222
"88",1232.52666666667
"89",3519.46722222222
"90",3340.49555555556
"91",2140.16777777778
"92",1732.59944444444
"93",1389.68944444444
"94",1190.74666666667
"95",895.891111111111
"96",806.233333333333
"97",1574.92166666667
"98",1970.31722222222
"99",2705.01055555556
"100",2472.735
"101",1854.84555555556
"102",1366.75888888889
"103",965.566666666667
"104",896.931111111111
"105",862.441111111111
"106",518.428888888889
"107",512.838333333333
"108",474.677222222222
"109",413.836666666667
"110",473.928888888889
"111",475.383333333333
"112",358.675555555556
"113",376.091111111111
"114",515.804444444444
"115",736.723888888889
"116",675.81
"117",580.050555555556
"118",551.63
"119",476.990555555556
"120",608.026111111111
"121",1349.46
"122",1597.55222222222
"123",1344.58722222222
"124",1259.38555555556
"125",1292.06777777778
"126",1186.45333333333
"127",1051.36111111111
"128",932.924444444444
"129",724.595555555556
"130",704.846111111111
"131",580.897222222222
"132",509.545
"133",487.452777777778
"134",491.287222222222
"135",542.413333333333
"136",1167.96666666667
"137",1267.37166666667
"138",1117.55666666667
"139",1010.44
"140",915.158333333333
"141",865.959444444444
"142",826.250555555556
"143",826.176666666667
"144",663.818888888889
"145",559.716111111111
"146",517.975
"147",548.778333333333
"148",566.096111111111
"149",727.291666666667
"150",619.772777777778
"151",614.184444444444
"152",694.529444444444
"153",656.396111111111
"154",667.160555555556
"155",599.027222222222
"156",638.883888888889
"157",615.508888888889
"158",574.278333333333
"159",559.868888888889
"160",507.815555555556
"161",505.156666666667
"162",481.471666666667
"163",507.676666666667
"164",554.915555555556
"165",474.444444444444
"166",492.242777777778
"167",470.247222222222
"168",480.917222222222
"169",456.863888888889
"170",490.485
"171",433.394444444444
"172",372.301666666667
"173",403.611111111111
"174",411.529444444444
"175",573.096666666667
"176",651.23
"177",554.486666666667
"178",523.765
"179",509.052777777778
"180",535.375555555556
"181",550.977777777778
"182",970.322222222222
"183",1211.27166666667
"184",1059.215
"185",863.127777777778
"186",665.254444444444
"187",610.923333333333
"188",584.644444444445
"189",548.039444444444
"190",1622.07055555556
"191",1675.18444444444
"192",1373.76944444444
"193",1007.35333333333
"194",827.008888888889
"195",820.829444444444
"196",664.23
"197",596.655
"198",623.976111111111
"199",802.326111111111
"200",793.38
"201",734.427222222222
"202",665.847222222222
"203",669.418333333333
"204",614.758888888889
"205",601.752222222222
"206",640.681666666667
"207",786.489444444444
"208",633.642777777778
"209",644.790555555556
