"","x"
"1",1669.3645
"2",1655.446125
"3",1675.352375
"4",1685.644125
"5",1644.687375
"6",1615.634375
"7",1425.41
"8",1299.422
"9",1291.213625
"10",1297.3154375
"11",1283.7021875
"12",1537.8205
"13",1712.3986875
"14",1711.2666875
"15",1705.3961875
"16",1709.56075
"17",1714.6914375
"18",1681.475125
"19",1670.0416875
"20",1533.0063125
"21",1374.2249375
"22",1401.6646875
"23",1804.67375
"24",1965.700375
"25",1951.760125
"26",1923.6185
"27",1949.882875
"28",1942.342375
"29",1929.651375
"30",1944.8475625
"31",1930.5075625
"32",1971.4891875
"33",1752.7101875
"34",1578.174625
"35",1593.3069375
"36",1590.039125
"37",1487.140375
"38",1465.5283125
"39",1475.6295625
"40",1474.171125
"41",1448.6698125
"42",1408.581
"43",1435.3524375
"44",1442.135875
"45",1443.8321875
"46",1441.31175
"47",1443.85825
"48",1427.6498125
"49",1424.545875
"50",1412.6455625
"51",1430.4105
"52",1200.977
"53",980.4951875
"54",934.1365
"55",932.92625
"56",918.6301875
"57",918.9544375
"58",924.1196875
"59",1131.705
"60",1351.2330625
"61",1351.78175
"62",1301.1054375
"63",1330.291625
"64",1326.542625
"65",1324.302
"66",1384.4691875
"67",1362.5013125
"68",1392.3079375
"69",1831.1731875
"70",2277.7733125
"71",2254.36125
"72",2127.773375
"73",1978.5811875
"74",1990.4486875
"75",1635.16425
"76",1592.983125
"77",1579.1698125
"78",1548.0415
"79",1535.2146875
"80",1530.8140625
"81",1532.81575
"82",1309.8394375
"83",1264.160125
"84",1261.9978125
"85",1267.139125
"86",668.878375
"87",547.161875
"88",525.5805625
"89",524.149125
"90",676.3083125
"91",664.4800625
"92",644.5518125
"93",616.7558125
"94",240.7185625
"95",232.999625
"96",244.20825
"97",240.4870625
"98",225.244125
"99",229.5465625
"100",233.395
"101",237.889625
"102",239.5100625
"103",235.07075
"104",233.49525
"105",229.6246875
"106",225.8806875
"107",225.07675
"108",229.6663125
"109",230.5223125
"110",232.613375
"111",155.373875
"112",168.05225
"113",169.8198125
"114",183.4485
"115",180.0749375
"116",165.5045625
"117",157.898625
"118",150.01375
"119",141.4530625
"120",159.320375
"121",163.714625
"122",183.6680625
"123",192.8804375
"124",160.0739375
"125",142.1256875
"126",32.2363125
"127",48.30175
"128",43.3691875
"129",71.6123125
"130",75.596375
"131",85.9835625
"132",82.0155625
"133",82.2974375
"134",91.7394375
"135",120.4516875
"136",94.3526875
"137",88.5109375
"138",87.0855
"139",84.9821875
"140",41.4396875
"141",108.700375
"142",96.8454375
"143",168.99
"144",236.0246875
"145",163.26425
"146",172.231125
"147",197.9731875
"148",150.197
"149",156.071375
"150",162.8055
"151",162.2931875
"152",167.0424375
"153",168.3174375
"154",167.5956875
"155",150.7876875
"156",156.3666875
"157",151.625375
"158",166.599375
"159",145.548125
"160",141.2630625
"161",152.74875
"162",205.4428125
