"","x"
"1",4659.56836551792
"2",4614.27086591404
"3",4568.03799405823
"4",4522.33236531986
"5",4477.22890730838
"6",4432.22480372351
"7",4388.39290295108
"8",4345.93045900178
"9",4304.36974371163
"10",4264.84949772232
"11",4227.11461923153
"12",4189.75466270549
"13",4152.29460219846
"14",4114.13734412755
"15",4075.60021994454
"16",4039.70700663498
"17",4018.82459110715
"18",4022.93896563676
"19",4041.49113854229
"20",4057.47282788671
"21",4062.96198504654
"22",4058.29206298277
"23",4046.46527431174
"24",4029.71682352941
"25",4010.44837264805
"26",3989.92341255694
"27",3969.04744909883
"28",3947.78159348386
"29",3925.74544523668
"30",3901.32542850069
"31",3872.9921147752
"32",3839.560147653
"33",3801.33945979402
"34",3759.82582065756
"35",3716.06908358091
"36",3671.50079778174
"37",3627.49379283026
"38",3583.52778976035
"39",3541.53655674391
"40",3502.30852228164
"41",3465.30979946524
"42",3430.17512596554
"43",3408.48648900772
"44",3419.44542414339
"45",3457.09003594771
"46",3488.58356159636
"47",3493.39338126362
"48",3476.39982432165
"49",3455.22618330362
"50",3447.20481976629
"51",3460.42411170529
"52",3490.7303694791
"53",3528.28870697168
"54",3564.2194560309
"55",3593.17021736978
"56",3612.12876272529
"57",3618.28551713211
"58",3610.4841389384
"59",3589.10505070311
"60",3555.08949346405
"61",3510.68147534165
"62",3468.91288383838
"63",3445.41760714993
"64",3432.63355803129
"65",3411.50448583878
"66",3376.6450620915
"67",3332.43520509012
"68",3286.49506585462
"69",3241.72819082987
"70",3200.69256030897
"71",3165.33224757378
"72",3135.22452842147
"73",3110.62432996633
"74",3091.77469172113
"75",3077.1789748465
"76",3066.69632164785
"77",3083.67915725886
"78",3173.97963359081
"79",3319.57908823529
"80",3438.56877480689
"81",3477.55885274312
"82",3450.02994820757
"83",3384.53917241038
"84",3298.57152129134
"85",3205.52367775797
"86",3110.09812339077
"87",3020.25037581699
"88",2942.24426450782
"89",2872.12785016835
"90",2811.01398781937
"91",2759.38821994454
"92",2714.06269736581
"93",2673.79008367994
"94",2638.4451597346
"95",2610.97627956031
"96",2588.65052782729
"97",2569.41101594375
"98",2552.49796672608
"99",2540.76772192513
"100",2539.14678193702
"101",2546.44184402852
"102",2555.30975193108
"103",2560.38523123391
"104",2559.31505813032
"105",2552.03288869083
"106",2539.51904278075
"107",2522.94578302634
"108",2503.5203610616
"109",2482.84512210339
"110",2462.98895890275
"111",2447.21187948109
"112",2445.418798673
"113",2469.58065171321
"114",2508.67666359675
"115",2538.18100653595
"116",2546.85371499307
"117",2535.69271558724
"118",2510.4827211329
"119",2477.92299524658
"120",2444.36905595167
"121",2417.27275856605
"122",2406.44953931472
"123",2443.53269706873
"124",2562.08555159437
"125",2721.24543780947
"126",2857.29401802337
"127",2949.30989691028
"128",3004.52460596158
"129",3032.99518974054
"130",3036.88045791246
"131",3021.58677609428
"132",2994.42185294118
"133",2961.53122311349
"134",2931.36977579719
"135",2920.36558764112
"136",2932.5309204793
"137",2950.65771192315
"138",2957.38974985146
"139",2960.78916042781
"140",2983.46554713805
"141",3020.6637573777
"142",3050.90722004357
"143",3058.25040552585
"144",3044.68331243811
"145",3028.04456922163
"146",3024.65782897604
"147",3036.57990027728
"148",3061.06495563478
"149",3094.66708160032
"150",3126.57034779164
"151",3145.76489819766
"152",3146.19780015845
"153",3129.69712923351
"154",3123.65138928501
"155",3151.00128817588
"156",3242.1696916221
"157",3377.04283303625
"158",3511.25042731234
"159",3615.21971390374
"160",3683.74562279659
"161",3751.91253535354
"162",3900.49067092494
"163",4168.39582313329
"164",4478.58437116261
"165",4734.82633501684
"166",4904.91622539117
"167",4983.23049603882
"168",5013.51991572589
"169",5024.70381808279
"170",5056.27243394732
"171",5161.44885809071
"172",5335.71234016637
"173",5523.65648643296
"174",5673.65214042385
"175",5792.86657803525
"176",5895.89298207566
"177",5985.01982392553
"178",6046.3128567043
"179",6041.88243800753
"180",5975.60056932066
"181",5919.84325361458
"182",6023.87021400277
"183",6522.52142929293
"184",7463.55350485245
"185",8583.69886640919
"186",9580.96984818776
"187",10414.821906021
"188",11083.8828485839
"189",11713.2079740543
"190",12403.8985982373
"191",13161.7128064963
"192",14000.2796763716
"193",14968.3999157259
"194",15889.0040413943
"195",16597.9158788869
"196",17222.4800376312
"197",17714.9052184591
"198",17856.847043672
"199",17829.153761834
"200",17887.3670620915
"201",18043.8367596554
"202",18453.5124775203
"203",19512.9691915231
"204",21922.9161464646
"205",26579.7513362052
"206",32701.7252749059
"207",37682.8175306992
"208",40705.4175279263
"209",41221.3596993464
"210",40720.8606903347
"211",40087.2796748861
"212",38498.3059007724
"213",35464.7324447415
"214",31885.6265009903
"215",28989.6173740345
"216",26966.4221600317
"217",25702.6849191919
"218",24941.8060816993
"219",24477.1509457318
"220",24281.0763023371
"221",24347.7032965934
"222",24581.5723776986
"223",24996.5038973064
"224",25730.0152816399
"225",27188.834650921
"226",29573.8059433551
"227",32223.990164587
"228",34399.9965149535
"229",36149.7633600713
"230",37503.0221246782
"231",38437.8950717964
"232",39073.3834686076
"233",39674.1861424044
"234",40346.4683693801
"235",40976.2096718162
"236",41401.9059402852
"237",41513.6811843929
"238",41310.1720616954
"239",40967.5802299465
"240",40671.5640740741
"241",40440.0682003367
"242",40220.4803793821
"243",39804.7794272133
"244",39004.0619989107
"245",37899.8577372747
"246",36608.6230422856
"247",35134.8450810061
"248",33541.1456791444
"249",31904.2405031689
"250",30270.792708061
"251",28754.8794590018
"252",27340.2300714993
"253",26161.7705455536
"254",25349.3753501683
"255",25074.9906368588
"256",25403.5077357893
"257",26320.0752470786
"258",27784.9417989701
"259",29528.7385123787
"260",31184.4149692018
"261",32557.9494180036
"262",33575.3762436126
"263",34212.5752032086
"264",34437.6821728065
"265",34316.2864302832
"266",33900.566872549
"267",33218.2336820162
"268",32362.2035243613
"269",31591.3991297287
"270",30998.6397933254
"271",30321.8484034462
"272",29271.3707295504
"273",27862.7232687661
"274",26321.8508905724
"275",24688.2624084967
"276",23035.8972668845
"277",21394.6413805704
"278",19898.8917703506
"279",18528.8761314122
"280",17231.2024826698
"281",16108.1713940384
"282",15184.2070426817
"283",14491.9376436918
"284",13964.3945568429
"285",13507.7427949099
"286",13104.9508310557
"287",12740.6903803724
"288",12381.8442234106
"289",12038.5734187958
"290",11738.2875982373
"291",11456.314637552
"292",11211.2115557536
"293",11002.717459695
"294",10827.4590812042
"295",10653.6487576748
"296",10476.1127313329
"297",10289.4153694791
"298",10092.4170681323
"299",9882.64684709844
"300",9662.97481105169
"301",9431.17126272529
"302",9181.55510408002
"303",8920.43974301842
"304",8656.65097950089
"305",8394.95320182214
"306",8158.58488165973
"307",7933.38698821549
"308",7699.88308922559
"309",7475.6386020004
"310",7276.20133234304
"311",7103.23407991682
