"","x"
"1",510.662451298701
"2",487.409988892686
"3",409.626193609023
"4",442.20896189337
"5",360.4677050581
"6",373.999953007519
"7",319.814715481887
"8",318.850796308954
"9",290.831470437457
"10",322.279476247437
"11",339.18515037594
"12",451.263433868763
"13",652.105522898155
"14",871.45234278879
"15",782.939493335612
"16",589.825250341763
"17",581.38704887218
"18",830.181665242652
"19",893.895496411483
"20",873.558942241969
"21",881.49998632946
"22",1122.75480775803
"23",1061.43427973342
"24",960.185398154477
"25",763.435591250854
"26",738.689142173616
"27",718.504626623377
"28",685.484476247437
"29",768.844301948052
"30",653.744266062885
"31",521.34342874231
"32",441.063239917977
"33",490.044563397129
"34",583.571388414217
"35",545.874920539986
"36",538.634055023923
"37",467.02103127136
"38",493.646473855092
"39",506.934776144908
"40",428.553552631579
"41",439.355997949419
"42",362.606153451811
"43",335.260137559809
"44",292.773750854409
"45",305.771040669856
"46",352.860776657553
"47",371.421160287081
"48",607.120912508544
"49",772.908827751196
"50",698.685851845523
"51",577.030590396446
"52",504.79758885851
"53",530.266449931647
"54",534.36265037594
"55",1081.81192498291
"56",1269.13811261107
"57",1040.02132518797
"58",798.895227272727
"59",639.911986500342
"60",575.539389952153
"61",1798.26167122351
"62",2378.28154733424
"63",2434.01541866029
"64",2377.12152511962
"65",1734.47318694463
"66",1269.73534859877
"67",1084.41848086124
"68",846.92700786056
"69",861.024336978811
"70",872.539776999316
"71",835.059067840055
"72",730.532827238551
"73",561.761131237184
"74",502.590323820916
"75",452.612966507177
"76",463.60541695147
"77",502.569967532467
"78",528.911209842789
"79",594.224031954887
"80",832.639684723172
"81",766.007613636364
"82",728.374943609023
"83",626.418110902256
"84",556.517476930964
"85",861.415909945318
"86",1470.14009142174
"87",1166.80559466849
"88",900.595048701299
"89",703.573645762133
"90",576.213101503759
"91",446.154746240601
"92",373.934626623377
"93",329.029308783322
"94",317.722010423787
"95",312.403229665072
"96",394.49730861244
"97",412.833929425837
"98",417.763689336979
"99",368.95719241285
"100",327.400878332194
"101",289.810872351333
"102",281.72713089542
"103",216.84041695147
"104",233.423237354751
"105",205.376817327409
"106",202.401854921394
"107",199.428911483254
"108",187.936700273411
"109",193.360597231716
"110",230.804054169515
"111",298.389817156528
"112",340.318706425154
"113",249.147908407382
"114",311.676834415584
"115",361.866264524949
"116",302.498814935065
"117",1028.47773239918
"118",2000.97519138756
"119",1637.88026828435
"120",1243.35576725906
"121",735.834371155161
"122",736.766928400547
"123",956.105166609706
"124",928.386929254956
"125",765.026655844156
"126",1089.95369702666
"127",1144.54202922078
"128",822.2288183527
"129",772.292427375256
"130",693.944549726589
"131",649.020023069036
"132",609.739020847573
"133",505.196899350649
"134",381.193863636364
"135",478.898007518797
"136",925.812007006152
"137",1349.03396616541
"138",962.819288277512
"139",720.819233595352
"140",496.821026144908
"141",468.111079972659
"142",350.921050068353
"143",363.73375
"144",310.182898154477
"145",422.301415755297
"146",414.176572966507
"147",349.020754442926
"148",285.037005297334
"149",266.552622180451
"150",235.516971120984
"151",237.197106971975
"152",294.166562713602
"153",371.190797163363
"154",336.786117566644
"155",290.428762816131
"156",221.057317156528
"157",211.305693779904
"158",173.716604579631
"159",181.488921736159
"160",167.892700786056
"161",191.922337662338
"162",180.830446001367
