"","x"
"1",4370.13123391813
"2",4331.14474269006
"3",4087.99242690058
"4",3810.55435087719
"5",3838.47052631579
"6",3752.7452748538
"7",3653.68566666667
"8",3574.67305847953
"9",3363.4001754386
"10",3310.6395497076
"11",3346.64258479532
"12",3384.73430994152
"13",3313.48091812865
"14",3326.05096491228
"15",3199.205
"16",3153.16860233918
"17",3149.06368421053
"18",3058.35680701754
"19",3103.30580701754
"20",3100.19059064327
"21",3098.29087134503
"22",3125.95730994152
"23",3196.56843859649
"24",3367.16298245614
"25",3314.67698245614
"26",3349.82831578947
"27",3693.57595906433
"28",3843.08521052632
"29",3886.8766374269
"30",3847.59676023392
"31",3829.95205847953
"32",3913.68998245614
"33",4069.98504093567
"34",4129.51216374269
"35",4145.92226900585
"36",4555.42538011696
"37",4887.45011111111
"38",4984.83702923977
"39",5190.98696491228
"40",5295.22960818713
"41",5085.22303508772
"42",4860.14002339181
"43",4629.57114035088
"44",4208.14154385965
"45",3837.43376608187
"46",3808.51551461988
"47",3709.9439122807
"48",3743.75454385965
"49",3806.8988128655
"50",3943.51564327485
"51",4009.90305263158
"52",3864.91098245614
"53",3782.90540935672
"54",3673.19610526316
"55",3659.86684210526
"56",3764.99078362573
"57",3713.39395321637
"58",3614.53228070175
"59",3623.75761988304
"60",3600.81875438596
"61",3836.81729824561
"62",3823.32723976608
"63",3817.21060233918
"64",3947.56538011696
"65",4145.15252046784
"66",4383.90459649123
"67",4815.44134502924
"68",4914.26031578947
"69",4820.1915497076
"70",4589.18177777778
"71",4255.45757309942
"72",4093.05164327485
"73",4184.54195321637
"74",4323.94194736842
"75",4609.1304502924
"76",4907.97116959064
"77",4933.84571929825
"78",6115.21461403509
"79",6685.12598245614
"80",6488.68051461988
"81",6134.27538011696
"82",5881.70731578947
"83",6764.34519298246
"84",9042.57112865497
"85",9796.44558479532
"86",9943.12930994152
"87",9865.15499415205
"88",9458.81497076023
"89",8510.8415497076
"90",7509.93199415205
"91",7136.08640935673
"92",7026.41387134503
"93",7139.51298830409
"94",7266.3938128655
"95",7178.80989473684
"96",7352.49051461988
"97",6967.18365497076
"98",6250.70650877193
"99",5587.85457309941
"100",5136.93450292398
"101",4947.50908187135
"102",4954.25424561404
"103",4795.70463157895
"104",4609.84163157895
"105",4464.66335672515
"106",5082.15090058479
"107",5141.96887134503
"108",8483.43046783626
"109",8527.27175438597
"110",8586.59252631579
"111",8762.09787134503
"112",8424.30456140351
"113",7557.03926315789
"114",7008.47071929825
"115",6592.11848538012
"116",6246.16058479532
"117",5928.61810526316
"118",5619.35064327485
"119",5371.69016959064
"120",5639.313
"121",5902.3144619883
"122",6397.972
"123",7381.85702923977
"124",8214.46114035088
"125",8344.0699005848
"126",7958.85473099415
"127",8517.10834502924
"128",9372.41948538012
"129",9737.76235087719
"130",9643.92096491228
"131",9633.40616959064
"132",9433.05128654971
"133",9175.33994736842
"134",8703.86981871345
"135",8300.29060233918
"136",7959.66397076023
"137",7762.26470760234
"138",7751.43363157895
"139",7330.36783625731
"140",7159.02947953216
"141",7172.39149122807
"142",7280.69299415205
"143",7224.49849707602
"144",6824.25231578947
"145",6297.13749122807
"146",5981.18349707602
"147",5485.12512865497
"148",4661.48971929825
"149",4168.7780877193
"150",4191.76224561404
"151",4446.84981871345
"152",4454.15891812865
"153",4426.21788888889
"154",4668.20287134503
"155",4803.68139766082
"156",4839.04732748538
"157",4916.24245614035
"158",5133.98668421053
"159",5283.14215204678
"160",5452.21223976608
"161",5416.35136842105
"162",5361.3240877193
