"","x"
"1",11041.1638253968
"2",12205.3973492063
"3",13046.9860595238
"4",13618.0552857143
"5",13861.2073134921
"6",13940.0837261905
"7",13908.4963849206
"8",13717.6760793651
"9",13393.3830753968
"10",12696.8455
"11",10840.5135119048
"12",7044.01209126984
"13",3308.42442460317
"14",11881.2413214286
"15",13458.515265873
"16",14016.7192619048
"17",13894.7376428571
"18",13334.4553571429
"19",12416.1809246032
"20",10841.5022420635
"21",7888.92776587302
"22",3844.18270238095
"23",7412.19873412698
"24",9228.95591269841
"25",10596.0474087302
"26",11532.1778055556
"27",12127.3924404762
"28",12477.9991111111
"29",12527.1583888889
"30",12282.9092142857
"31",11666.2061587302
"32",10169.3583333333
"33",6575.94450396825
"34",9459.4883452381
"35",11675.2275753968
"36",12664.0249801587
"37",12724.3813373016
"38",12128.6697896825
"39",10977.3171349206
"40",9519.42386111111
"41",7611.32868253968
"42",4650.33845238095
"43",5016.34078174603
"44",8127.34203968254
"45",10266.5525873016
"46",11588.6030714286
"47",12230.2625396825
"48",12179.138484127
"49",11367.746781746
"50",10049.1522857143
"51",8479.72493650794
"52",8674.31541666667
"53",11361.1688928571
"54",12610.7972698413
"55",12927.5485515873
"56",12416.2771507937
"57",11088.391297619
"58",9539.56228174603
"59",7926.34176984127
"60",8346.33699206349
"61",12558.8086428571
"62",15594.267781746
"63",17443.395015873
"64",18412.099781746
"65",18689.6115714286
"66",18385.8193888889
"67",17440.1978095238
"68",15422.7559047619
"69",11660.0073809524
"70",6169.75248412698
"71",12367.4706428571
"72",14437.9822142857
"73",15774.6686547619
"74",16610.5928730159
"75",17022.7792301587
"76",17232.7179920635
"77",17646.0320912698
"78",18271.2746468254
"79",18929.8293095238
"80",18987.3388730159
"81",17779.6076388889
"82",15205.5634722222
"83",12573.2546388889
"84",11771.3859801587
"85",13046.8245436508
"86",15458.7221666667
"87",17803.0998452381
"88",19231.7509166667
"89",20049.4599960317
"90",20475.3814007936
"91",20184.4713134921
"92",19225.9289761905
"93",17686.0086746032
"94",15321.6598095238
"95",11670.0749246032
"96",5950.34489285714
"97",13622.7828730159
"98",15977.9978730159
"99",17617.1707896825
"100",18733.9297579365
"101",19671.4737063492
"102",21325.0570873016
"103",24173.8649722222
"104",27188.944202381
"105",28664.9337579365
"106",28524.4971865079
"107",27070.8193412698
"108",24894.2340912698
"109",22535.319797619
"110",21350.7949642857
"111",21826.2842698413
"112",23803.1872936508
"113",26225.7454246032
"114",27994.675797619
"115",29057.5951587302
"116",29621.8924007937
"117",29396.0266904762
"118",28445.0435555556
"119",27253.7063571429
"120",25498.6432420635
"121",22763.6919484127
"122",18362.7732103175
"123",14755.2731626984
"124",15282.3090436508
"125",18826.1251269841
"126",22279.9511150794
"127",24645.8587579365
"128",26046.6105436508
"129",26760.214734127
"130",26973.9709722222
"131",26821.9141349206
"132",26519.6628888889
"133",26123.6480992064
"134",25685.7790555556
"135",25311.5339880952
"136",25021.7280238095
"137",24946.0556190476
"138",24808.15225
"139",25969.8871349206
"140",31717.9181666667
"141",39312.8224801587
"142",45114.6599166667
"143",52727.0845555556
"144",59051.7223769841
"145",61765.7793214286
"146",61551.0465714286
"147",58580.3982222222
"148",54345.0176111111
"149",50378.4818809524
"150",46979.8506746032
"151",43243.2259206349
"152",41055.7755634921
"153",39975.8188690476
"154",41804.7111666667
"155",45163.4396944444
"156",51413.5575079365
"157",61607.0850396825
"158",71478.451202381
"159",84480.9289801587
"160",94607.9332142857
"161",99509.5072063492
"162",100543.012698413
"163",100284.551599206
"164",100212.150099206
"165",100609.81634127
"166",100898.060079365
"167",101857.276515873
"168",105856.98297619
"169",111033.414484127
"170",112586.006230159
"171",110820.33734127
"172",107385.668095238
"173",102122.840833333
"174",96263.6693571429
"175",90898.2449722222
"176",86283.5827261905
"177",81653.3486309524
"178",77416.6373293651
"179",73883.8393055555
"180",70976.4943412698
"181",68862.5173333333
"182",67310.4004325397
"183",66199.061015873
"184",65262.2617777778
"185",64246.0541349206
"186",63048.5502539682
"187",61751.6849484127
"188",60557.8223333333
"189",59454.2514404762
"190",58202.1785833333
"191",56671.9675198413
"192",55195.100218254
"193",54021.9278690476
"194",53423.5693690476
"195",53419.4842777778
"196",53649.4794206349
"197",53950.9791269841
"198",54826.6911507937
"199",56179.2042619048
"200",57292.7648611111
"201",58197.0170357143
"202",58939.7830357143
"203",59609.2666587302
"204",60403.6459960317
"205",61273.3283452381
"206",62295.5093452381
"207",63405.089718254
"208",64254.6001626984
"209",64958.9615833333
"210",65829.9785912698
"211",66811.7528650794
"212",67538.1653015873
"213",67707.5174166667
"214",67203.940765873
"215",66364.2571825397
"216",65581.7636626984
"217",64809.5300396825
"218",64482.3496190476
"219",64828.1928373016
"220",64586.7104246032
"221",63171.7170198413
"222",61218.5096071429
"223",58928.4911388889
"224",56595.3647301587
"225",54508.3884325397
"226",52190.2211785714
"227",49783.916452381
"228",47851.7448849206
"229",45791.8672380952
"230",43833.8532579365
"231",42074.9690912698
"232",40982.5424523809
"233",40652.8544722222
"234",40594.9591031746
"235",40380.0503293651
"236",40585.7436428571
"237",41848.759281746
"238",43794.7450119048
"239",45627.5550238095
"240",46710.8444960317
"241",46766.951218254
"242",45893.9420595238
"243",44789.9556349206
"244",44458.5208492063
"245",45684.3988690476
"246",48423.5193134921
"247",49634.9698412698
"248",50683.7579325397
"249",51765.6240992064
"250",52678.3297222222
"251",51779.6477539683
"252",49757.4230714286
"253",49642.7316349206
"254",48561.3381507937
"255",46583.4546349206
"256",43173.4478571429
"257",39768.5371904762
"258",37579.4197619048
"259",36105.9901587302
"260",34929.4549285714
"261",34000.771297619
"262",33226.5930555556
"263",32514.38925
"264",31662.8347579365
"265",30787.3031309524
"266",29882.158468254
"267",28404.0327103175
"268",26764.7996150794
"269",25127.3190992064
"270",23685.7314087302
"271",22657.8625595238
"272",21959.708015873
"273",21603.257234127
"274",21521.2893769841
"275",21905.7478134921
"276",22571.2685833333
"277",23215.088031746
"278",23614.2987380952
"279",23693.1887857143
"280",23364.4558253968
"281",22844.4544761905
"282",22247.0491984127
"283",21167.0859761905
"284",19074.7383809524
"285",16255.4796746032
"286",14760.6006349206
"287",15436.0071944444
"288",16512.039952381
"289",17689.8656309524
"290",18470.9455079365
"291",18934.3396111111
"292",19155.1987539683
"293",19024.8148730159
"294",18635.3328968254
"295",18153.1719880952
"296",17635.2670396825
"297",16969.6509325397
"298",16042.8653650794
"299",14652.1346190476
"300",12848.4854047619
"301",10978.4772460317
"302",10169.0075793651
"303",10242.8624285714
"304",11081.2539047619
"305",13232.4628611111
"306",15498.5558611111
"307",16784.603015873
"308",17411.8298650794
"309",17420.9395277778
"310",16946.0061785714
"311",16244.3743452381
"312",15108.2096706349
"313",12824.8817698413
"314",8669.02326190476
"315",5501.64856746032
"316",10666.1045515873
"317",12210.1806309524
"318",13249.489
"319",13876.489047619
"320",14147.5118611111
"321",14068.4940357143
