"","x"
"1",422.013098214286
"2",420.946074404762
"3",417.782319940476
"4",416.821802083333
"5",418.857251488095
"6",421.583903273809
"7",416.092901785714
"8",409.430165178571
"9",414.189614583333
"10",420.259516369048
"11",422.94434672619
"12",420.830254464286
"13",418.694107142857
"14",411.219351190476
"15",405.459827380952
"16",409.578636904762
"17",416.424732142857
"18",416.168505952381
"19",413.199578869048
"20",411.967303571429
"21",409.505413690476
"22",410.677086309524
"23",434.147136904762
"24",504.05728422619
"25",539.535166666667
"26",513.569873511905
"27",487.328150297619
"28",471.052523809524
"29",458.76187202381
"30",461.074025297619
"31",464.535431547619
"32",470.453860119048
"33",480.830008928571
"34",488.527211309524
"35",489.680232142857
"36",488.633099702381
"37",733.411880952381
"38",1191.62325297619
"39",1190.11930505952
"40",933.384763392857
"41",787.741805059524
"42",725.641613095238
"43",673.055290178571
"44",643.33825
"45",797.916269345238
"46",1081.39918303571
"47",1365.84942857143
"48",1649.06862797619
"49",1419.802375
"50",1103.95424107143
"51",972.927735119048
"52",891.864711309524
"53",830.126738095238
"54",784.179745535714
"55",724.218748511905
"56",695.20790625
"57",692.731053571429
"58",685.575364583333
"59",679.614391369048
"60",684.724651785714
"61",751.577575892857
"62",950.753961309524
"63",982.190974702381
"64",916.181763392857
"65",1079.27586458333
"66",1571.47279017857
"67",1511.45836755952
"68",1218.91250892857
"69",1073.58030803571
"70",987.703464285714
"71",932.62784077381
"72",906.509180059524
"73",891.459901785714
"74",878.82894047619
"75",865.441074404762
"76",833.599614583333
"77",794.901797619048
"78",769.764498511905
"79",762.29990922619
"80",773.657431547619
"81",785.725556547619
"82",774.900751488095
"83",745.307514880952
"84",707.991822916667
"85",674.122321428571
"86",650.227239583333
"87",627.464327380952
"88",606.468532738095
"89",586.186806547619
"90",567.717745535714
"91",547.290502976191
"92",528.431267857143
"93",507.203683035714
"94",482.76834077381
"95",467.007169642857
"96",457.041583333333
"97",445.528330357143
"98",443.555581845238
"99",450.427869047619
"100",450.665983630952
"101",484.010186011905
"102",638.135197916667
"103",909.789346726191
"104",1088.81112053571
"105",1029.0356577381
"106",879.973236607143
"107",760.701431547619
"108",675.404989583333
"109",615.901069940476
"110",587.070642857143
"111",564.55544047619
"112",539.586257440476
"113",517.156811011905
"114",498.775894345238
"115",485.511916666667
"116",484.014608630952
"117",497.097827380952
"118",518.12165327381
"119",530.092053571429
"120",527.565035714286
"121",527.997699404762
"122",555.377607142857
