"","x"
"1",154.742437227044
"2",147.182558613684
"3",140.73633021683
"4",140.375984188004
"5",137.883843961764
"6",138.729587119574
"7",136.756792198587
"8",140.028377344362
"9",142.727608977333
"10",144.810640088718
"11",159.332089539311
"12",155.154630381465
"13",162.557648957861
"14",190.588566487242
"15",233.933448782229
"16",242.092354884234
"17",590.823601726677
"18",987.504982982038
"19",1071.67208378217
"20",718.109749434123
"21",448.245507254927
"22",336.857257864667
"23",361.806894514434
"24",848.113464148417
"25",910.064285060704
"26",744.226444667997
"27",527.256150862304
"28",465.253763848104
"29",384.718167783252
"30",354.22948091805
"31",787.95278614525
"32",1027.63990487929
"33",864.681828282699
"34",683.359045852266
"35",558.123570113323
"36",441.96623528811
"37",377.61335450364
"38",340.207979872897
"39",313.051304415682
"40",292.230873995359
"41",276.928600400191
"42",265.305841843413
"43",256.858288940025
"44",250.187131957134
"45",257.440517570087
"46",321.952331321494
"47",329.267102629098
"48",290.018370208869
"49",269.974176974129
"50",261.625092405227
"51",255.385444884087
"52",249.691533163015
"53",240.708233993605
"54",233.836175483425
"55",227.914150179169
"56",225.603081572456
"57",223.013332429233
"58",221.998414613983
"59",221.128827962095
"60",213.207431723162
"61",201.815849888866
"62",209.170997175254
"63",214.192375775137
"64",209.446663076125
"65",203.019417188672
"66",200.812661125177
"67",205.714065967034
"68",198.171648844672
"69",207.055647619472
"70",217.220189434038
"71",231.740144133633
"72",227.47058148147
"73",222.702262296947
"74",215.33860734651
"75",208.572338735856
"76",205.013203555816
"77",195.161932961645
"78",185.478581354696
"79",184.979606829491
"80",181.976640177783
"81",173.402463530556
"82",170.394336277327
"83",170.258815707474
"84",170.018689404901
"85",165.044024385125
"86",164.509728936213
"87",162.983458283303
"88",166.222549668791
"89",175.468515587078
"90",165.171672223207
"91",169.526159451457
"92",193.766200484519
"93",245.517111099781
"94",311.243371327218
"95",324.298119681814
"96",409.515295901829
"97",357.555073027374
"98",321.868235510053
"99",282.194710596493
"100",255.13838064995
"101",232.061124002795
"102",214.423612514692
"103",199.998318891166
"104",191.758347872885
"105",197.478786166737
"106",208.008758225688
"107",213.63241016344
"108",212.49941411598
"109",211.418133882327
"110",205.014277733456
"111",210.22869797761
"112",201.724001439334
"113",198.224267936959
"114",192.916836388846
"115",192.182349239482
"116",197.005623887806
"117",198.630829468342
"118",195.574107228354
"119",191.844657907327
"120",186.424381751062
"121",184.178739931745
"122",180.848784479241
"123",180.135025981183
"124",181.1918060696
"125",222.443547933184
"126",203.588395907856
"127",222.474958336701
"128",235.533345809459
"129",238.65406475067
"130",234.11299002853
"131",223.246743558832
"132",226.150121352804
"133",250.460033264345
"134",216.713835534383
"135",224.214464042345
"136",217.87323288147
"137",202.652131746369
"138",212.722943694399
"139",210.347378406151
"140",197.286299149583
"141",195.335598038735
"142",195.944978340592
"143",195.391418794521
"144",192.750305163309
"145",193.769522077437
"146",202.761233944712
"147",203.87006307766
"148",211.360654899002
"149",211.19216819324
"150",208.186087934229
"151",210.749039828394
"152",211.248519040981
"153",221.263278761436
"154",229.895542235445
