"","x"
"1",19.0019100430021
"2",19.4680892585407
"3",16.8240187332297
"4",15.3752956963393
"5",14.3945883385646
"6",13.8145823669509
"7",12.8771990855955
"8",12.0032236365995
"9",12.0383288238397
"10",12.898211672859
"11",16.3179265008602
"12",50.2981179386486
"13",126.233868025428
"14",134.252255780515
"15",99.2934833977931
"16",108.944045289917
"17",118.690612871325
"18",93.8687567328663
"19",73.8378777396691
"20",60.3990085260023
"21",56.2108564426803
"22",286.851834359667
"23",376.027000893727
"24",375.59444366712
"25",295.872948017093
"26",182.801359238843
"27",153.638545644715
"28",149.516542840619
"29",193.981923484405
"30",203.186216168998
"31",201.964017114105
"32",176.286636652838
"33",181.338508784491
"34",185.701313582461
"35",152.130550193827
"36",111.346017208484
"37",87.489529619243
"38",72.5188484339871
"39",63.3052381312172
"40",57.5804217108933
"41",88.5940700876744
"42",158.726438957392
"43",116.8856618331
"44",96.1265987790734
"45",84.8777052630131
"46",83.7124762956185
"47",375.052144737723
"48",475.583938170731
"49",445.689841467339
"50",406.550652962636
"51",385.566876719413
"52",340.589578768614
"53",195.399874881675
"54",174.459740783855
"55",160.926863303104
"56",125.379771921672
"57",102.425019794449
"58",80.0294915418013
"59",64.2183270194684
"60",56.803664449677
"61",49.741773914464
"62",43.6661266388176
"63",41.4280437041259
"64",37.7751114486524
"65",35.237028592655
"66",32.8574770206994
"67",30.1611260117012
"68",28.647324546398
"69",25.5414063129525
"70",24.7097492834125
"71",24.4523215728351
"72",25.9724539519006
"73",27.1253391161807
"74",35.8362223127414
"75",33.5313508308842
"76",28.2269267601613
"77",28.5972514851748
"78",30.5239664523816
"79",28.4681122285331
"80",25.055312920853
"81",22.7110078647073
"82",22.5980854340892
"83",20.5101457360069
"84",19.5066082193618
"85",19.001086725753
"86",18.9617040439853
"87",18.8695885242078
"88",18.2907566417107
