"","x"
"1",11210.4189
"2",11164.7625
"3",11285.043
"4",11538.8544
"5",11717.0523
"6",11989.2365
"7",12051.0109
"8",11621.1173
"9",11510.707
"10",11352.0961
"11",11053.5169
"12",10821.6085
"13",10815.8262
"14",10787.1432
"15",10465.534
"16",10167.5716
"17",10088.7687
"18",10156.6881
"19",10495.4618
"20",10888.4732
"21",10804.7749
"22",11091
"23",12080.4689
"24",12272.3311
"25",11351.3408
"26",11283.0518
"27",11028.1825
"28",11136.869
"29",10957.8435
"30",10741.5705
"31",10626.4064
"32",10383.7447
"33",10184.9151
"34",10237.5247
"35",10501.3102
"36",10620.2275
"37",10653.4112
"38",10653.4112
"39",10839.8954
"40",10534.2212
"41",10625.7585
"42",10625.7585
"43",10562.7994
"44",10254.2605
"45",10207.8678
"46",10150.259
"47",10210.3763
"48",9936.1772
"49",11289.6266
"50",9930.6267
"51",9841.091
"52",9865.3959
"53",9580.9668
"54",9473.9018
"55",9402.0375
"56",9262.6529
"57",9683.4691
"58",9420.2437
"59",9284.807
"60",9149.7918
"61",9181.508
"62",9056.8924
"63",8900.2251
"64",8973.9505
"65",9037.3387
"66",9126.7172
"67",8982.9075
"68",8888.3483
"69",9067.1914
"70",8979.8999
"71",8896.9318
"72",8846.8971
"73",8808.146
"74",8609.2467
"75",8753.546
"76",8881.7028
"77",8930.229
"78",8727.5037
"79",8696.1721
"80",8682.3614
"81",8858.0342
"82",8928.2639
"83",8911.4477
"84",8847.0928
"85",8804.2696
"86",8743.5109
"87",8892.3595
"88",8880.8552
"89",9085.0671
"90",8941.2008
"91",8709.2337
"92",8808.09
"93",8681.4228
"94",8776.2479
"95",8792.6962
"96",8763.5383
"97",8832.6126
"98",8736.5874
"99",8863.9116
"100",8999.9943
"101",8751.1971
"102",8674.5435
"103",8796.1609
"104",8794.5732
"105",8630.3457
"106",8705.6554
"107",8763.9894
"108",8922.5132
"109",9785.7628
"110",9566.4079
"111",9260.0583
"112",9089.2727
"113",8929.9068
"114",9009.0705
"115",8813.7147
"116",8611.9871
"117",8653.5556
"118",8723.5659
"119",8878.9272
"120",8836.169
"121",8782.4149
"122",8737.9342
"123",8677.4635
"124",8763.9347
"125",8726.761
"126",8629.4561
"127",8617.7351
"128",8765.6411
"129",8764.7116
"130",8258.4575
"131",8691.5173
"132",8595.5591
"133",8526.1709
"134",8518.3372
"135",8575.2114
"136",8689.7612
"137",8715.2263
"138",8705.7171
"139",8599.7755
