"","x"
"1",2084.35958333333
"2",1947.48895833333
"3",1839.68625
"4",1746.92125
"5",1654.834375
"6",1556.18895833333
"7",1446.01
"8",1319.45479166667
"9",1195.75333333333
"10",1084.72104166667
"11",1003.5325
"12",1014.08020833333
"13",1116.35666666667
"14",1133.585625
"15",1110.48520833333
"16",1066.439375
"17",1040.29604166667
"18",1109.50208333333
"19",1325.90041666667
"20",1533.946875
"21",1690.52604166667
"22",1767.55854166667
"23",1834.47791666667
"24",1981.378125
"25",2144.73583333333
"26",2254.68020833333
"27",2328.60729166667
"28",2427.46291666667
"29",2490.04208333333
"30",2551.57083333333
"31",2623.14770833333
"32",2703.81270833333
"33",2785.91458333333
"34",2827.649375
"35",2797.59291666667
"36",2704.66854166667
"37",2536.21333333333
"38",2312.83
"39",2082.8175
"40",1856.45291666667
"41",1645.896875
"42",1471.26895833333
"43",1320.63916666667
"44",1198.32541666667
"45",1095.49541666667
"46",1011.25020833333
"47",967.637083333333
"48",964.85375
"49",952.998333333333
"50",927.231458333333
"51",897.353125
"52",880.702916666667
"53",878.904583333333
"54",863.351666666667
"55",836.790208333333
"56",803.2275
"57",768.735
"58",741.294583333333
"59",717.462708333333
"60",710.451875
"61",725.97
"62",720.930208333333
"63",695.668333333333
"64",703.08625
"65",774.877291666667
"66",866.310625
"67",943.119375
"68",1009.71145833333
"69",1123.64020833333
"70",1240.10375
"71",1219.25625
"72",1138.26229166667
"73",1061.57791666667
"74",1012.225625
"75",969.935625
"76",923.078958333333
"77",881.104791666667
"78",843.158541666667
"79",847.1725
"80",814.839166666667
"81",781.737708333333
"82",751.079791666667
"83",704.9975
"84",671.948125
"85",651.93
"86",640.150833333333
"87",705.06625
"88",871.493541666667
"89",1025.90958333333
"90",1110.48958333333
"91",1117.57979166667
"92",1042.055
"93",905.84625
"94",798.108333333333
"95",770.181666666667
"96",779.013333333333
"97",779.797083333333
"98",757.24375
"99",733.963958333333
"100",711.880416666667
"101",666.271458333333
"102",607.669791666667
"103",554.242916666667
"104",512.498333333333
"105",483.148333333333
"106",469.965625
"107",491.746041666667
"108",588.777291666667
"109",710.547291666667
"110",757.012083333333
"111",744.59875
"112",681.588125
"113",601.008125
"114",536.734583333333
"115",489.163541666667
"116",454.49875
"117",426.596458333333
"118",398.083958333333
"119",371.982708333333
"120",350.66375
"121",358.577916666667
"122",373.473333333333
"123",370.005
"124",440.738333333333
"125",521.940416666667
"126",639.331875
"127",877.579375
"128",985.226041666667
"129",980.985416666667
"130",945.682916666667
"131",936.443333333333
"132",928.976458333333
"133",893.363541666667
"134",850.8525
"135",793.106666666667
"136",709.371666666667
"137",615.675
"138",536.046875
"139",476.839583333333
"140",431.287083333333
"141",391.523125
"142",359.913541666667
"143",334.887708333333
"144",316.852916666667
"145",300.872291666667
"146",283.88
"147",273.122916666667
"148",264.478958333333
"149",255.411458333333
"150",243.653333333333
"151",234.105625
"152",222.20125
"153",216.177916666667
"154",212.312083333333
"155",209.3225
"156",206.303541666667
"157",202.064375
"158",205.947916666667
"159",206.964791666667
"160",203.077083333333
"161",197.041458333333
"162",189.867916666667
