"","time","mean","conf.low","conf.high"
"1",1,581.578082257401,472.91309642983,698.669743511641
"2",2,614.047882621197,498.442986426662,742.797788469007
"3",3,779.911312622534,641.978988141558,934.664504653844
"4",4,709.70185571389,582.888424263972,852.573898272587
"5",5,672.585684808811,554.434674868306,823.637199932858
"6",6,727.130479912744,592.19983757964,876.147292012133
"7",7,721.341259677777,595.798479218308,883.612452232484
"8",8,687.456758856342,558.040082935415,832.707856532025
"9",9,646.640276244598,528.762254551124,775.689812918518
"10",10,631.261482846713,517.840089765263,766.181289764992
"11",11,608.86835343024,493.684078026843,743.012383899377
"12",12,587.323084341623,480.305304157957,709.247387045223
"13",13,590.449714279236,482.732352128129,716.205208435942
"14",14,764.776101565752,626.653199430755,929.927459198866
"15",15,1041.48882451952,858.257099449364,1275.39090992449
"16",16,1194.97868179811,961.781174812246,1457.12712247386
"17",17,1211.36723318139,993.337214201024,1471.57358545485
"18",18,958.159967629195,786.404261419836,1163.41034508501
"19",19,866.954399895298,707.093172511646,1054.71902943501
"20",20,842.354582420042,688.1572950443,1020.37579203151
"21",21,876.5623431731,712.020078331297,1059.08367183474
"22",22,1016.5825866054,832.588590665431,1243.40203786311
"23",23,932.173973407511,755.005396109096,1132.98138828479
"24",24,851.461725027698,689.23580459893,1036.21522072649
"25",25,728.119890672411,601.343876796324,887.63298920384
"26",26,671.442495015093,545.146197370397,826.811665097424
"27",27,742.92991659779,605.514576847341,905.324530891343
"28",28,747.490649210825,610.888493987614,921.153417183804
"29",29,750.560940953352,617.912684454059,899.985568702985
"30",30,728.955262977422,602.969725139358,880.930969263382
"31",31,674.410520332627,551.939876282889,811.19749796323
"32",32,719.445673360461,586.97946723712,874.253791253393
"33",33,710.234953061815,586.727774497454,863.124726743736
"34",34,695.697846978372,568.372073753918,835.25753525559
"35",35,658.885183197794,545.194646717381,789.821748317318
"36",36,631.659524790726,512.956294099329,753.230297483796
"37",37,632.353899438949,517.814464170721,766.433568193789
"38",38,827.99472471945,669.801824345519,1008.16866404833
"39",39,1164.70366590948,943.294310499946,1417.8724409501
"40",40,1038.99453514568,839.770579371356,1251.36650672907
"41",41,963.236610878721,773.051571039063,1169.72623611909
"42",42,928.599158473419,754.070594565166,1129.14834584811
"43",43,846.182679471184,698.487504671845,1030.91499370082
"44",44,812.69196161112,648.247193349463,998.496659326068
"45",45,756.055984504234,616.651968835492,916.282126277646
"46",46,788.582487764933,644.485275467712,962.396412913941
"47",47,631.501604198655,513.958847436535,773.002614174198
"48",48,642.799991462335,529.827431733728,779.126947138669
"49",49,612.945019770019,505.542665773941,741.979236483133
"50",50,667.336393824308,542.987107023345,807.724869367289
"51",51,696.830286170603,569.289709578432,851.286563638436
"52",52,787.112233839231,643.747428342966,951.011407732724
"53",53,758.413391193942,621.225425660459,906.482173509196
"54",54,706.81757211695,584.709367885749,852.033530658837
"55",55,735.110278828586,596.283324840094,889.998478108974
"56",56,700.005183322321,567.037999684925,847.230400476532
"57",57,755.917488531637,610.136265136893,917.452749762551
"58",58,739.546325280283,611.359265616266,889.384466852699
"59",59,723.258324251683,596.073143621197,867.629463464977
"60",60,686.689064884625,564.742626471163,833.338505911514
"61",61,728.775896700415,595.154925512179,877.558795284457
"62",62,743.281325942246,611.923406385631,899.735774558631
"63",63,721.455672879864,585.341839826344,869.465894648495
"64",64,743.039119337583,604.55284228957,910.406980878997
"65",65,765.281689201664,624.524905829072,919.456064663594
"66",66,718.373364051514,588.592763429478,878.650310394275
"67",67,673.619401802179,555.300667944393,803.903924048563
"68",68,621.183210965269,509.628647000141,753.777965525444
"69",69,676.31765812797,547.289565898952,822.021109699258
"70",70,685.623816349635,564.687184535511,825.734877897572
"71",71,638.819383511506,516.044117181197,784.116601559102
"72",72,677.537808611155,553.254694234366,822.778917420595
"73",73,649.995274288185,531.925974472239,780.731993736456
"74",74,636.813903410245,520.195264332955,774.631189826854
