"","time","mean","conf.low","conf.high"
"1",1,16958.7280142264,11183.3622194328,23113.2181277961
"2",2,16926.9553590166,11063.043003653,22938.2824943899
"3",3,16622.5239297582,10767.6871716067,22330.8273424501
"4",4,15737.9675921489,10314.5779429655,21031.6766919297
"5",5,14188.8719678361,9463.22361041444,19295.3688993121
"6",6,12080.8703441319,8156.49398194477,16144.4410890036
"7",7,10309.29304638,7067.84590288784,13787.3204306536
"8",8,8904.68599445769,6107.62751420669,11911.9669470506
"9",9,7792.07501205963,5332.43087307894,10270.3447903844
"10",10,6994.11944532552,4769.43308596773,9297.13194072565
"11",11,6447.62764952641,4508.61473512636,8529.91863394006
"12",12,6092.38434353763,4259.73909005724,8079.38378743482
"13",13,6085.98770189018,4179.19693072184,8174.25069046801
"14",14,6892.01309947319,4789.24923164273,9125.71009431424
"15",15,8086.77079876285,5513.01845024139,10851.7812277042
"16",16,9132.36179321664,6409.41805688946,12255.7619385796
"17",17,9676.08586395586,6700.12082851026,12961.1128460303
"18",18,10027.1164524887,6929.90251633057,13467.2755154341
"19",19,10252.3776815496,6963.94634094415,13581.7045559882
"20",20,10843.6430099001,7448.66781977658,14411.5995274775
"21",21,11508.3432853063,7806.67403403364,15373.5396174837
"22",22,12182.6079948536,8321.37039016538,16577.2588980007
"23",23,12780.3460235592,8573.86162464885,17239.7107908928
"24",24,13633.4626750302,8958.1033966459,18642.8621361964
"25",25,14317.6967695723,9385.36753388309,19335.4859647605
"26",26,15008.7543924143,9981.77934362347,20598.811921432
"27",27,15792.788298297,10488.4746956469,21213.5982385973
"28",28,16735.2029707218,11006.2052178713,22726.8270369024
"29",29,17663.64538972,11560.1456001939,24336.7071061071
"30",30,18657.623644489,12260.9320949921,25515.952135227
"31",31,19304.880732585,12244.1720968693,26348.7082501794
"32",32,19927.2748588909,12778.1786595421,27153.9386246717
"33",33,20317.6242100419,12994.5289247565,27814.2584728016
"34",34,20533.7490382073,13332.7462744143,28082.6913070242
"35",35,20164.6440794291,13214.9177149975,27844.8416609428
"36",36,19529.7798030141,12729.8090382625,27014.4255653299
"37",37,18751.1802777798,12214.1683900665,25451.4287763424
"38",38,17750.4815818024,11687.030104574,24363.0395946009
"39",39,16104.3641903182,10282.9616544126,22015.2691838337
"40",40,14170.0083351771,9350.60154214219,19421.892976521
"41",41,12235.977912076,8305.51259682048,16516.4740376487
"42",42,10837.8811769756,7429.5233934677,14418.3139063437
"43",43,9743.62107629131,6625.21740791624,13112.0773910073
"44",44,8874.98963636903,6248.15932906461,11846.0214810732
"45",45,7856.66788666477,5404.44972352803,10517.7300370348
"46",46,7000.56249129264,4938.38377989705,9232.41562775802
"47",47,6404.24625053085,4446.13925292722,8615.0544452575
"48",48,6176.04369430992,4261.06962042072,8275.89752654034
"49",49,6333.9888118626,4469.68280055482,8341.56677645267
"50",50,6727.56132554021,4660.85531697859,9062.93911954103
"51",51,7180.77040396645,4981.12095699112,9522.85132623111
"52",52,7518.27452112148,5220.00110771422,9940.12119358969
"53",53,7373.72844416647,5095.80857312274,9698.58506803523
"54",54,6858.26998330529,4785.04062342446,9008.21473326144
"55",55,6283.45155969818,4323.03341123476,8305.03946541102
"56",56,5825.75718119397,4092.32501681234,7752.73487548523
"57",57,5682.63982918568,3983.88487456419,7446.10169474413
"58",58,5856.83649105548,4086.47629836638,7725.82905987519
"59",59,6138.5689349932,4262.34748063484,8161.86540614086
"60",60,6507.14248092809,4489.71735754373,8575.65248866993
"61",61,6598.06304382298,4558.45101511757,8736.1323388016
"62",62,6626.43240932974,4543.12381432251,8796.09042450915
"63",63,7172.82762979671,4936.51216095725,9485.0772545104
"64",64,8579.64387941831,5904.74896755479,11477.358978836
"65",65,10506.5524981764,7091.67011536672,14093.429258626
"66",66,12239.8408449855,8080.89140417724,16444.204279314
"67",67,13375.8064942161,9022.55351663978,17891.2397581848
