"","time","mean","conf.low","conf.high"
"1",1,69.0772745761653,67.3553961494155,73.9937811622347
"2",2,73.0979156676215,67.6364735899448,83.5047331203363
"3",3,90.7805086850241,76.249800265195,106.580125409908
"4",4,148.432548036537,124.933921117519,174.037447394114
"5",5,339.488380151218,277.796062693007,412.904508299398
"6",6,500.818697583259,406.45599252443,605.300960317735
"7",7,492.520860962037,400.776715057825,599.046652864671
"8",8,462.717344667992,372.188209488073,557.701081395463
"9",9,434.434109973801,349.47660553597,529.623971042472
"10",10,407.610339227999,333.632870632526,487.465511268097
"11",11,365.002672134635,296.585095720763,442.329958445762
"12",12,314.070951811389,258.033173193885,382.168962122518
"13",13,279.851540485388,231.137388148713,337.026224014364
"14",14,254.097670707715,207.012275361747,307.316750244969
"15",15,227.123491742538,186.039384932492,273.030221197732
"16",16,204.808311029839,169.661854772086,243.331349569406
"17",17,192.472979996873,159.767442059762,228.721105577562
"18",18,187.211118871463,154.845685120441,223.090461616123
"19",19,183.608335143446,153.248067566072,219.273388206627
"20",20,179.408341003702,149.146426041782,212.778164446917
"21",21,164.075527454683,136.660097262114,194.733268986882
"22",22,162.132824383617,135.284963593926,193.88016522552
