"","time","mean","conf.low","conf.high"
"1",1,12511.1810603252,8247.39654295805,18484.3214974638
"2",2,11580.9913683157,7761.02191387003,17009.0165881673
"3",3,9797.65981921544,6542.90053238697,14134.8824194696
"4",4,14250.4460419084,9179.16558142831,20934.8322715613
"5",5,14418.2826073247,9413.34989160106,21303.8541673729
"6",6,10304.4279499504,6753.01968011421,15104.6864696319
"7",7,10587.7284439491,6957.19444152463,15652.1944842847
"8",8,10650.3940946657,7065.10285096564,15608.7601121275
"9",9,9981.70819112462,6476.03911091346,14716.6222734277
"10",10,8837.05072535632,5716.65566713437,13082.7475465051
"11",11,6856.72790454745,4444.36194375523,10024.112497049
"12",12,9245.18031278224,5984.35179605674,13621.1777983054
"13",13,6061.48070094109,3962.23692320476,8930.98113288147
"14",14,8044.36655524387,5111.26668402373,11566.5749254436
"15",15,10227.2000156452,6641.92275530807,14982.2617517474
"16",16,10743.7665794572,6964.52119195112,15798.2275828998
"17",17,11141.9757720602,7361.70840858435,16264.8339948352
"18",18,12111.7429940331,7847.94641123578,17851.2482985758
"19",19,11109.2992339632,7486.23688257946,16116.2989678362
"20",20,11260.8127547207,7153.19312408265,16128.2345859148
"21",21,11281.634163007,7346.3789129792,16141.1385024294
"22",22,13517.4930865104,9161.01771759605,19243.1296910652
"23",23,11540.6638376569,7630.55588118558,16698.6789220763
"24",24,11869.2322005322,7750.90938925167,17147.5409160783
"25",25,10018.649407413,6643.07781719531,14524.2940233775
"26",26,10455.8385838898,7010.49140202126,14886.2242297607
"27",27,11381.7882154927,7561.34661229178,16569.9322694385
"28",28,11318.4795418578,7517.73489771287,16342.8322972269
"29",29,11203.2111860954,7472.19587801448,16002.5785076996
"30",30,10946.2650068302,7174.20621462604,16312.5342369466
"31",31,10685.1991956848,6948.61448493311,15720.8715955217
"32",32,11133.9716962112,7252.88523954103,16180.8600605724
"33",33,11248.8117147504,7326.60847150332,16435.9818917509
"34",34,10722.6526919595,6980.66645883681,15461.3191618095
"35",35,8356.81115710261,5403.12278508152,12025.4313056496
"36",36,10813.9570583436,7128.33074848428,16069.983523237
"37",37,11354.1573086079,7652.3747183283,16151.1388780166
"38",38,14229.340623608,9331.21485678417,20254.3305780372
"39",39,12030.4310625288,7941.69644277276,17418.4268457983
"40",40,10204.2350249926,6797.74677976155,14661.9520271143
"41",41,10352.8304850764,6619.81115371529,15583.7884679414
