"","time","mean","conf.low","conf.high"
"1",1,9582.84890400432,6647.56847430771,13155.808703981
"2",2,9360.22816434188,6324.66887211179,13340.7876430157
"3",3,9197.93840896049,6356.26296949931,12710.5604200072
"4",4,9925.99477257002,6825.91786230592,13956.4244159656
"5",5,9637.53522527175,6450.03873665975,13709.0510393644
"6",6,9759.82748174764,6602.22881838551,13809.7288051921
"7",7,9899.30789560524,7006.27806916019,13775.3995294899
"8",8,9547.95224418379,6600.72184542454,13432.7923091409
"9",9,9400.66925631768,6421.72924394422,13212.257324779
"10",10,9244.22102927979,6440.77452584561,12851.0255616896
"11",11,8873.51338759622,6111.30890675581,12324.1918298672
"12",12,8899.21277341557,6076.34401000146,12600.1109233159
"13",13,8614.95935338441,5885.72101721841,12273.3409012332
"14",14,8816.53684368063,6119.47015465026,12426.0674405854
"15",15,8811.3381499981,6181.9231049933,12342.5874974674
"16",16,8646.60602287306,5848.89887627953,12048.7921870915
"17",17,8635.60828182775,5953.61472834474,11975.1653922472
"18",18,8840.80037846619,6090.7341668298,12203.0461327297
"19",19,8894.15036390216,6192.77863458659,12334.1861617173
"20",20,9159.78054726184,6319.22213287364,12584.9673925736
"21",21,9167.51338115333,6322.07202633753,12904.4679026434
"22",22,9551.57299660515,6539.05018213441,13542.2499677351
"23",23,9934.98237639507,6891.96050771278,13822.6977217757
"24",24,10251.2684965476,6991.2488787268,14451.5669077988
"25",25,9557.53084847077,6632.71753152524,13197.2034113241
"26",26,9311.39955186341,6409.10040097966,13379.3397315374
"27",27,9287.24026451129,6476.67685432464,13126.1643049344
"28",28,9184.96989552374,6377.7142013987,12711.5745683824
"29",29,9235.27846353892,6668.49954627517,12866.5286630343
"30",30,9053.86407820106,6222.85631890727,12675.4972026826
"31",31,8920.73714673093,6145.53630266935,12533.082904541
"32",32,8790.31629232941,5960.78523942947,12445.0005324954
"33",33,8670.78154201712,6006.64741568966,12279.9269116176
"34",34,8640.16193457915,6058.44277560259,11921.409602916
"35",35,8595.58110677883,5937.7879992992,12091.4403153371
"36",36,8883.5597801704,6109.05323417716,12452.2015657968
"37",37,9015.12793934142,6138.80728377864,12674.9921943031
"38",38,9277.62022087105,6445.94059208837,13279.6576681423
"39",39,9064.5035629741,6300.12186424706,12817.0768409763
"40",40,8828.22459300614,5959.93221777981,12471.1030295858
"41",41,8958.07674347835,6270.76805342443,12601.2988296262
"42",42,9346.60975793575,6478.65057433405,12905.5915230569
"43",43,8997.75888057754,6150.10880539344,12676.0863583391
"44",44,8711.01396271523,5951.93429381757,12157.7004955403
"45",45,8530.94373626989,5872.71556557532,12164.2759312059
"46",46,8376.94207287721,5653.49240789021,11765.0618711244
"47",47,8413.51971682974,5818.572815455,12103.0286979409
"48",48,8609.09346724947,5974.79711846714,12020.9764791452
"49",49,9554.8179844929,6466.25508609568,13448.0589440435
"50",50,8271.69656312405,5708.43695450461,11379.9985218184
"51",51,8391.93839478848,5772.62459215152,11818.1380426394
"52",52,8444.1162551981,5854.20310007374,11979.5944793961
"53",53,8175.77808019512,5689.45290290685,11307.2317789419
"54",54,8097.55671112983,5635.61797277461,11323.1881789929
"55",55,7986.8739485744,5466.80017156599,11283.6408872868
"56",56,7815.68620037961,5352.07896606032,10988.2388954898
"57",57,7762.00399922796,5549.74531782834,10694.247426984
