"","x"
"1",23910.4298134325
"2",23873.1214529984
"3",23589.553219724
"4",22681.1881971132
"5",21016.4220861433
"6",18597.5253140198
"7",16348.6034711477
"8",14627.8772688061
"9",13498.0695543609
"10",12551.9216772002
"11",11931.8856242962
"12",11587.9136742621
"13",11623.3863390663
"14",12675.1872172884
"15",14079.9960709745
"16",15071.1650661678
"17",15718.4128523806
"18",16148.6359400111
"19",16480.2685785317
"20",17205.4582909165
"21",18040.4089053552
"22",18886.7396417876
"23",19522.7307842473
"24",20601.5015294678
"25",21318.478785228
"26",22064.7615182178
"27",22926.8983253625
"28",23791.0084187623
"29",24633.8859871095
"30",25411.1303037586
"31",26096.7764028933
"32",26632.7520708878
"33",27090.8758168973
"34",27180.8956565427
"35",26870.7393315818
"36",26270.63839599
"37",25552.7763514059
"38",24555.3502555402
"39",23005.7022428152
"40",20990.7348415019
"41",18778.364270368
"42",17018.4090122044
"43",15720.4567731224
"44",14641.6043161245
"45",13548.488074181
"46",12524.0928899443
"47",11913.4262719803
"48",11692.0134865848
"49",11939.5586963786
"50",12406.1984533294
"51",12916.5246478515
"52",13299.4934276613
"53",13004.0175932484
"54",12380.6656511246
"55",11752.0264040233
"56",11292.8225238923
"57",11149.6217736572
"58",11359.2747131819
"59",11727.1989238394
"60",12138.0917335408
"61",12176.1622770796
"62",12247.212127077
"63",12954.1962056308
"64",14673.3324509543
"65",16835.7166989535
"66",19014.1566875522
"67",20300.1224318546
"68",21745.9150765602
"69",22610.7826037618
"70",23345.9779284362
"71",23113.995884629
"72",22434.5322144229
"73",21545.0118854201
"74",20968.8508056776
"75",20321.107670757
"76",18883.6451839442
"77",17813.5546076847
"78",17849.5590347649
"79",18827.4366598562
"80",19743.7667924037
"81",19864.6452858697
"82",19251.6050023206
"83",18476.3334828517
"84",18371.7751616965
"85",18971.5092513893
"86",19467.068798284
"87",19216.4610179434
"88",18680.6619552807
"89",18198.4371514434
"90",17285.3623985487
"91",15791.9498087509
"92",14503.2060867648
"93",13744.0502610492
"94",13323.0968426097
"95",13156.0439591128
"96",13060.6704414821
"97",12957.2078405252
"98",12643.3062751888
"99",12234.3017093156
"100",11761.8982703236
"101",10973.5876776079
"102",9936.82649378075
"103",9255.37829322703
"104",8628.52784023263
"105",8127.54152054855
"106",7738.27072503118
"107",7524.96451652481
"108",8257.00619412864
"109",10083.7777168868
"110",11071.8397749809
"111",11352.2568585009
"112",11539.2473273361
"113",11411.7915771111
"114",10991.5077848304
"115",10534.164017562
"116",9888.84131959327
"117",9262.48493319652
"118",9108.38087945306
"119",9024.14985226754
"120",9462.06879441962
"121",10877.9364977056
"122",12231.5014815118
"123",12681.8537426295
"124",12911.6473709636
"125",13944.5686501479
"126",15206.035027131
"127",16245.1982997449
"128",17225.6606662792
"129",18441.8277700188
"130",19598.476963867
"131",20196.9676654801
"132",20212.1967123525
"133",19949.5513588218
"134",19635.4672740123
"135",18943.1650587923
"136",17568.1849883969
"137",16402.5819058213
"138",15757.9741295368
"139",15268.6484671724
"140",14712.8913031774
"141",14034.5288298544
"142",13219.19853782
"143",12320.185467584
"144",11379.9186126246
"145",10520.8766983885
"146",9735.91268243071
"147",9156.80815531179
"148",8717.29111765928
"149",7890.63706014231
"150",7077.20818980826
"151",6690.08650723023
"152",6586.27358511012
"153",6639.01231225205
"154",6925.76086789034
"155",7440.65533298827
"156",7943.41109956857
"157",8168.92296971293
"158",8136.82298509963
"159",7902.64945933675
"160",7683.64773025559
"161",7555.93975477139
"162",7539.75035663837
