"","x"
"1",9045.33388033142
"2",7667.90551683771
"3",6430.55373938872
"4",5503.37958751978
"5",5031.863107478
"6",4412.51389451267
"7",3897.15902923229
"8",3623.30318332056
"9",3343.34613387673
"10",3165.84027991715
"11",2835.44207812017
"12",3259.32664562569
"13",4625.76317623217
"14",5613.57229161006
"15",6148.22868718307
"16",6037.2473049798
"17",5516.53698242027
"18",7047.9262617994
"19",8548.62424022489
"20",9470.32896106097
"21",9321.89541976139
"22",8292.87504214472
"23",7810.21318160338
"24",8902.76456697199
"25",9719.08308147829
"26",9799.98237094974
"27",11184.0485568528
"28",12575.3902809932
"29",12837.6029742379
"30",12989.0233150138
"31",12403.6001019409
"32",10557.0882655879
"33",8663.11823992001
"34",7877.31216644922
"35",7310.39677412225
"36",6773.66995851884
"37",6073.72935133002
"38",5557.40086865643
"39",5046.98161870687
"40",4570.95465157527
"41",4100.60959135764
"42",3780.72936792339
"43",3386.65557782201
"44",3074.31784235634
"45",2761.38248020319
"46",2589.06600654588
"47",3113.61590475294
"48",3769.92828035653
"49",4367.48812922288
"50",4760.75168172668
"51",4712.90182222999
"52",4473.13176107083
"53",3985.3702603064
"54",3471.60915135782
"55",3411.87004137356
"56",3749.35989964177
"57",4614.72505625423
"58",4812.26759037576
"59",4318.42838944858
"60",3799.64330204761
"61",4609.06112912873
"62",6840.33555890173
"63",10672.3027936299
"64",12909.8652759851
"65",13472.5853056703
"66",12894.2753840774
"67",10978.641116844
"68",8646.27569653562
"69",7934.95740115046
"70",7928.6497655588
"71",8463.89627953157
"72",8487.41681722643
"73",7527.11124156545
"74",6240.44206529293
"75",5589.15952196233
"76",6208.85877085827
"77",7472.0221267211
"78",7738.90389279998
"79",7379.44224057012
"80",6626.48224653315
"81",6614.61243915693
"82",6667.91749602539
"83",5638.60349486866
"84",5588.19704819293
"85",5689.16879850341
"86",5373.8265251725
"87",5552.63058452034
"88",5569.45233912151
"89",4865.61475434113
"90",4187.51121785232
"91",3637.47544508857
"92",3334.48263762716
"93",3603.22662377321
"94",3858.12193032223
"95",3524.34987029739
"96",3141.59683872024
"97",3594.90550710856
"98",3762.95964135294
"99",3531.411054147
"100",2768.21977731448
"101",2221.51205057366
"102",2077.44413035272
"103",1894.30286727552
"104",1781.54260065638
"105",1465.11365319829
"106",1635.16800730359
"107",1921.8176367484
"108",1589.61019960007
"109",1463.19052950803
"110",1541.16931299627
"111",1130.53633599652
"112",1505.02140105631
"113",1515.27568811564
"114",1570.45292691478
"115",1588.64683212055
"116",1717.09142948606
"117",1858.27729516995
"118",2678.11460595137
"119",4750.73477318968
"120",5792.35942671975
"121",5441.24658993638
"122",4467.88920112894
"123",4873.30106604167
"124",6272.18795466753
"125",7753.92299421631
"126",7614.71886998803
"127",7971.53874651297
"128",9310.04468686026
"129",9158.552817343
"130",8190.79733893768
"131",8248.86315988092
"132",8739.6553233262
"133",7953.38056044853
"134",6519.90778937953
"135",5976.63279917145
"136",6307.03550624773
"137",5963.20772714882
"138",5555.57916833676
"139",5413.1955268
"140",4443.46484952542
"141",3424.66708526235
"142",2601.69149015652
"143",2137.5523408611
"144",1847.08207758663
"145",1994.6686837846
"146",1720.10247305652
"147",1768.67470853341
"148",1410.38586385463
"149",1515.76108266642
"150",1097.12371696684
"151",1361.54765811219
"152",1624.48596404249
"153",1626.80031806708
"154",2118.66357442802
"155",2387.10884955232
"156",2418.02079749911
"157",1480.96818198896
"158",1614.52843086249
"159",1266.75373878794
"160",1231.16718616308
"161",1051.50263100058
"162",944.205279616752
"163",790.307333109159
"164",735.983694576333
"165",811.501726817043
"166",954.244356324622
"167",1024.83369940056
"168",946.11469750853
"169",875.106000053802
"170",592.850692392878
"171",629.515402298232
"172",917.031738088513
"173",894.671707098695
"174",780.094526495129
"175",970.850287301438
"176",544.004209992782
"177",528.803715254146
"178",660.831383261373
"179",541.60386300725
"180",447.432996614972
"181",567.525021686596
"182",569.262412560919
"183",497.422983308002
"184",478.988341053887
"185",583.353664084182
"186",584.51658863617
"187",560.162857084572
"188",1017.27063436319
"189",653.510922166776
"190",474.404081451392
"191",485.489711465605
"192",524.769873332706
"193",555.922056621877
"194",541.537460915258
"195",483.377645361167
"196",428.136077797356
"197",772.036723001601
"198",773.400717554172
"199",670.459658152537
"200",858.228123968239
"201",1055.38252977255
"202",1092.92529954134
"203",1609.47211676329
"204",1704.40908762514
"205",1202.57238309997
"206",969.591630982644
"207",1051.02019440372
"208",774.515234082523
"209",1624.04253497787
"210",3205.79433084052
"211",3683.5718888052
"212",2921.23368529553
"213",2074.44988064526
"214",1409.93259184186
"215",982.165392152115
"216",1145.17051022906
"217",1201.66067869585
"218",989.466522966629
"219",889.11255574984
"220",1040.84381763443
