"","x"
"1",167.234103351591
"2",171.146768556372
"3",177.481193299342
"4",175.59722210553
"5",169.699005836973
"6",157.857569334809
"7",154.070932882806
"8",149.997936040183
"9",150.114292223357
"10",150.638797871324
"11",148.16321321083
"12",145.398118965093
"13",143.378981344644
"14",144.143887900019
"15",144.113520525874
"16",146.927450973855
"17",149.602333532554
"18",148.014950166764
"19",143.549211530327
"20",138.167669362479
"21",141.06920984073
"22",141.993341516087
"23",140.672013116508
"24",147.385999455315
"25",155.287920463401
"26",157.59552513648
"27",141.029421475049
"28",137.589155154802
"29",137.813396632908
"30",133.422161254231
"31",130.560149380138
"32",142.252062714438
"33",151.741150601703
"34",150.52454119731
"35",165.076831831907
"36",176.389544243183
"37",164.433544874387
"38",156.525733275188
"39",151.18868997572
"40",151.127739613521
"41",151.285122529297
"42",150.443258610334
"43",148.062016893582
"44",145.337909457572
"45",151.61077163903
"46",150.507354845871
"47",145.637107187288
"48",142.39384602869
"49",141.360229504576
"50",138.243384002372
"51",138.329926215041
"52",140.041481769701
"53",136.804733681805
"54",134.825219254235
"55",134.692947251798
"56",131.935750655231
"57",129.301604328194
"58",128.445738013092
"59",129.220558716995
"60",130.662197923519
"61",131.2462398986
"62",133.697408735976
"63",138.466603064345
"64",134.992686368965
"65",139.43170252643
"66",174.855956080771
"67",200.544392623871
"68",198.601599454403
"69",195.59420536005
"70",197.41908338875
"71",195.994854080195
"72",189.03638908009
"73",173.026006288014
"74",158.955178102342
"75",153.416582754416
"76",149.703805989304
"77",143.576754953382
"78",131.888870541529
"79",134.067417622564
"80",140.882601117081
"81",146.287651821672
"82",153.784970828733
"83",159.584439953354
"84",165.11067763803
"85",170.285800561379
"86",168.148457278545
"87",163.871782032195
"88",158.669195787587
"89",155.301030056378
"90",151.244912826798
"91",150.655700366296
"92",151.340554910812
"93",167.650823833075
"94",191.153110210651
"95",231.3020236303
"96",260.708282748313
"97",243.473856330641
"98",217.227568569399
"99",210.289268897072
"100",196.483325310218
"101",183.334377793036
"102",183.168091177684
"103",177.466686524547
"104",171.445763457322
"105",167.68908358961
"106",164.682977844458
"107",167.300801545702
"108",168.204023891739
"109",173.191695858888
"110",177.670397130821
"111",180.369125255374
"112",180.599631308003
"113",176.516852446397
"114",180.279678510202
"115",185.493643914733
"116",186.972288705271
"117",183.507484009612
"118",181.622989586395
"119",190.036189916203
"120",205.147464389735
"121",227.633781907261
"122",239.633830278403
"123",232.916898375671
"124",236.3751790217
"125",241.17191725808
"126",250.462295860809
"127",261.680691567651
"128",253.733124378392
"129",245.349334613523
"130",250.820221036886
"131",256.970267086485
"132",255.601025074396
"133",241.056362103173
"134",227.857743547899
"135",229.346947497962
"136",241.525952046768
"137",235.914818287479
"138",221.712282638495
"139",212.699342550809
"140",207.376631539606
"141",201.054448033199
"142",195.86306119242
"143",194.952003130997
"144",206.364815600558
"145",229.529493044772
"146",327.243289557171
"147",467.647136220679
"148",531.440193198817
"149",544.506830867029
"150",508.165674901735
"151",497.23438566967
"152",514.124682431757
"153",549.906362040255
"154",594.20963460849
"155",643.971902817986
"156",652.400395622618
"157",618.614455098514
"158",578.832555225373
"159",538.452692789319
"160",467.869075565318
"161",407.936959020285
"162",387.400075048959
"163",368.826016010632
"164",348.328052385498
"165",331.88767318316
"166",316.685092437274
"167",324.662911204117
"168",322.983604093153
"169",332.646924309594
"170",351.941228912877
"171",388.745391245367
"172",425.071651712876
"173",449.393452177056
"174",450.518517776005
"175",437.71500469983
"176",431.840663214522
"177",422.175637691364
"178",397.418341151267
"179",387.893795326665
"180",396.648842501071
"181",395.636533782242
"182",404.643605849026
"183",424.672649692549
"184",463.383488452515
"185",499.181887640234
"186",498.109649621314
"187",488.598124585735
"188",512.444261066319
"189",598.857101893682
"190",678.860774776356
"191",757.721006116986
"192",813.500213054185
"193",816.696370499246
"194",801.331444187729
"195",786.055726742029
"196",758.847208477256
"197",715.615975115885
"198",653.31918061477
"199",566.908094520439
"200",492.897144903847
"201",459.962379199172
"202",453.475469579401
"203",439.532783269299
"204",431.778781532972
"205",440.300286299849
"206",441.58697971919
"207",432.030750643777
"208",438.76491184334
"209",479.479040234065
"210",539.398311730979
"211",612.098005472938
"212",695.914043121211
"213",747.787300946796
"214",764.810631620322
"215",740.093166359648
"216",717.535539630902
"217",697.509152413471
"218",667.30012261636
"219",630.236402731349
"220",576.26334825152
"221",520.518562090401
"222",486.919655477142
"223",444.229320641155
"224",421.197956093321
"225",404.554546237871
"226",383.17942741912
"227",377.856865558025
"228",362.489411677682
"229",343.899681008031
"230",336.466711239778
"231",331.932604158742
"232",352.557417080902
"233",370.351272769411
"234",362.099148815589
"235",348.929000620784
"236",336.96533279677
"237",333.170517231074
"238",330.602733941068
"239",323.494133531039
"240",331.961292849167
"241",347.954780819469
"242",393.384126579182
"243",466.951007298317
"244",528.330945803225
"245",545.000303576729
"246",534.583947896852
"247",513.45286130899
"248",494.516509265173
"249",484.884903287862
"250",472.613860414476
"251",460.632115694768
"252",438.206901184717
"253",416.522491994218
"254",398.217687131194
"255",377.016691111939
"256",359.332034071876
"257",353.781653138149
"258",337.276873934724
"259",320.633747175698
"260",312.249270584785
"261",306.497125508023
"262",297.493617105229
"263",287.619080641114
"264",277.953035506423
"265",276.170873776595
"266",270.051659909828
"267",257.738380380703
"268",252.181335058101
"269",251.294576707078
"270",245.346633176237
"271",234.072433671076
"272",230.435595501784
"273",224.839861364197
"274",219.566720221715
"275",221.954776307412
"276",226.220177736754
"277",225.646422714322
"278",222.369963845309
"279",213.588917826564
"280",201.405871145888
"281",205.836898392532
"282",216.153422776862
"283",223.605098165226
