"","x"
"1",1162.51598006413
"2",1399.97321106929
"3",1580.80681514011
"4",1752.95901184999
"5",1854.54513857521
"6",1894.99740108741
"7",1832.55012560993
"8",1819.6767875366
"9",1830.55578209954
"10",1827.04152195734
"11",1756.92114052698
"12",1767.40228426042
"13",1990.64468116548
"14",1964.72938519448
"15",1637.37328732748
"16",1486.98303039175
"17",1425.31866429667
"18",1372.88570667782
"19",1329.8957696919
"20",1257.41511138993
"21",1174.12683814304
"22",1135.20972661369
"23",1141.54039244389
"24",1167.08143970445
"25",1279.20897476649
"26",1398.82085041126
"27",1400.59417203402
"28",1385.87330098982
"29",1386.75635410567
"30",1347.98978851248
"31",1279.333295971
"32",1238.37454259027
"33",1279.27438700683
"34",1383.407799526
"35",1475.56566220549
"36",1569.05185138715
"37",1589.90705353409
"38",1581.1594307821
"39",1572.28117384637
"40",1530.8838877736
"41",1450.01096445002
"42",1366.99914582462
"43",1338.38757814025
"44",1304.17685849714
"45",1272.12017621637
"46",1255.36569775547
"47",1220.5885655932
"48",1245.87233193922
"49",1283.33079060365
"50",1238.51463557786
"51",1197.4021384358
"52",1183.76340777917
"53",1197.06812519169
"54",1237.30814038756
"55",1300.0490083647
"56",1341.35426962219
"57",1404.64419852224
"58",1520.83914707933
"59",1586.50802453646
"60",1533.27174571309
"61",1496.65340039035
"62",1493.59420089223
"63",1524.48330126865
"64",1527.8235393838
"65",1512.51584692597
"66",1566.71445099679
"67",1625.88119615224
"68",1646.52907291231
"69",1662.48075672661
"70",1659.00152307263
"71",1669.13119099401
"72",1657.0081777499
"73",1608.21709438171
"74",1537.07154858497
"75",1491.03387062596
"76",1490.0893460198
"77",1465.12545308797
"78",1424.2694749756
"79",1461.96223379339
"80",1528.87374055486
"81",1500.87662219434
"82",1464.47762735257
"83",1451.14987648125
"84",1431.37238700683
"85",1424.07292151122
"86",1445.95313034992
"87",1515.8294213021
"88",1515.8770405688
"89",1538.30001965705
"90",1567.81944765091
"91",1476.00752293322
"92",1413.80529736512
"93",1377.66968813607
"94",1264.02546800502
"95",1152.29309145406
"96",1089.58850606441
"97",1057.89770918723
"98",1066.75301603234
"99",1062.50001338352
"100",1034.90919991635
