"","time","mean","conf.low","conf.high"
"1",1,17768.2746796011,14270.5547477098,21880.4871108846
"2",2,17753.7921109961,14020.2277799525,22079.5317558952
"3",3,17465.4889783144,13955.7462188491,21492.9184501189
"4",4,16578.7335464658,13413.2014879442,20747.1610031208
"5",5,15029.9939057295,12078.7464425071,18603.8104982155
"6",6,12982.7103355763,10495.2095197896,16120.8983373751
"7",7,11238.8417329042,8925.39811969629,13884.5220710934
"8",8,9920.3757120424,8029.01198394845,12353.8700333755
"9",9,8844.8095648257,7065.39529873745,10854.9816833306
"10",10,8052.4518592772,6416.98384129858,9984.14709716811
"11",11,7485.45386893044,5933.86351150193,9442.39567604577
"12",12,7144.46346673577,5702.07135283015,8748.0557065775
"13",13,7134.64635400966,5751.44636630621,8714.4536291823
"14",14,7999.77760753596,6411.69115725452,9833.98122249445
"15",15,9176.79759826896,7377.41589603819,11137.0244587248
"16",16,10147.818525261,8136.91813480296,12383.4813545087
"17",17,10726.9898584572,8650.24988303755,13311.9624442312
"18",18,11044.8491761431,8770.4904173996,13684.3460933161
"19",19,11296.0217390602,9077.27930808326,13889.6486791327
"20",20,11833.5783740374,9514.28600994018,14603.7971258371
"21",21,12508.5724967451,10071.6993065476,15481.5925467689
"22",22,13131.6499269135,10498.2067229802,16285.2022903674
"23",23,13682.2783020375,10857.0805947098,16831.9681535086
"24",24,14546.6301877792,11796.8288256093,17631.8995391983
"25",25,15218.8642493903,12154.906521114,18882.1030329945
"26",26,15887.9200731772,12680.2236147901,19756.2345194161
"27",27,16683.8341604862,13268.5593550736,20642.9237036869
"28",28,17568.5639932868,14208.5448489014,21938.9344885729
"29",29,18476.5521228095,14738.2775059027,22711.3292841863
"30",30,19349.9737028214,15685.953255585,24160.3631579675
"31",31,20145.041961808,16288.4478709903,24570.900520822
"32",32,20638.0269882682,16336.2239272303,25436.2932915678
"33",33,21091.3501048865,16752.88268288,26071.7131604605
"34",34,21257.3515555012,16805.8841173965,26090.2063345676
"35",35,20878.8566097126,16519.6103866115,25690.4118509318
"36",36,20210.0464163307,16394.4874003489,25203.017566243
"37",37,19499.417194592,15566.5312207578,24097.367641974
"38",38,18508.2426456388,14766.2827845987,22926.9245392096
"39",39,16884.124753014,13484.6385988188,20636.8182373106
"40",40,15019.0356206927,12097.2188722937,18611.3693677316
"41",41,13177.3597297003,10261.6388720362,16344.8904778148
"42",42,11749.7521012911,9479.08131752996,14549.6564689788
"43",43,10755.3273581791,8620.3947089218,13296.7054256949
"44",44,9902.74786569386,8050.06050781534,12076.4340268294
"45",45,8908.57425436232,7189.51979379092,10972.7888511235
"46",46,8023.59299905678,6409.45129788909,9922.66465493054
"47",47,7479.15636857098,5958.59526936686,9167.05554444958
"48",48,7228.04520522586,5796.8874559294,8981.83497035629
"49",49,7407.41643033361,6002.32990277553,9218.33937949191
"50",50,7843.91242235222,6188.5925156795,9685.75364945283
"51",51,8260.70361242703,6593.81631862604,10118.6627992127
"52",52,8596.37875577056,6906.62981271317,10507.2655174056
"53",53,8416.11175160194,6631.71248327035,10275.2131989613
"54",54,7917.08452506311,6305.6924728815,9683.72416592486
"55",55,7295.27590117758,5879.79864621175,8850.09357872904
"56",56,6879.18439715853,5526.27897967317,8515.15875058759
"57",57,6749.86725702208,5394.98020255903,8299.93198560862
"58",58,6922.75646061721,5469.77324376654,8497.87060114212
"59",59,7197.9053111102,5816.63354499853,8774.25124592632
"60",60,7575.51905113237,6093.91332204811,9390.2967931056
"61",61,7666.10364190833,6161.77674874134,9438.471935738
"62",62,7707.37080670032,6113.64491734471,9453.15798356991
"63",63,8244.41651057512,6630.00061448996,10103.2317771904
"64",64,9634.72453989611,7708.36222039661,11788.0131018216
"65",65,11488.660396548,9256.91030420268,14124.4685355807
"66",66,13243.3465943985,10627.4309978986,16384.034410232
"67",67,14322.122369039,11313.100478805,17714.3795740632
"68",68,15534.0776694706,12483.3571821904,19460.2066633816
"69",69,16388.1161031832,13261.3232357717,20114.3995624436
"70",70,17191.6194231721,13933.9678259779,20968.5096938614
"71",71,16918.0778219636,13574.4156247237,20820.1946482636
"72",72,16260.9434674701,12928.8538451091,20059.9138793105
"73",73,15421.3844641949,12266.2134172888,18998.6233299889
"74",74,14929.5572400654,12042.2650917376,18538.5762691034
"75",75,14414.7703471407,11559.1451881668,17497.2517442721
"76",76,13233.5344696239,10556.8823143147,16119.2670162913
"77",77,12338.9004860492,9967.22297629918,15105.5568179689
"78",78,12347.5264696262,9867.62346652723,15318.6549209149
"79",79,13111.6473781449,10588.4533993719,16015.0518010489
"80",80,13842.4878127699,11150.7552078247,17095.0680554864
"81",81,13985.8975070352,11364.1477061499,17400.6639524598
"82",82,13505.9776550149,10915.0937514324,16862.5198047913
"83",83,12880.5666231579,10321.4947288097,16115.4011334055
"84",84,12776.3879660219,10178.9528198811,15592.7683788218
"85",85,13259.2632678454,10486.8854368517,16315.1651047013
"86",86,13629.7604086771,10918.3464724306,17111.9456058041
"87",87,13439.4849623658,10784.6805168972,16662.9045110133
"88",88,13081.4371343812,10524.1153453697,16130.1851615986
"89",89,12656.5278794715,10289.4525707011,15522.3264381799
"90",90,11923.2727126677,9511.19734205147,14533.6133692847
"91",91,10787.946955572,8701.14001014251,13333.191090994
"92",92,9757.6874176961,7823.78991733583,12011.1313831407
"93",93,9054.16514473527,7279.90306998878,11186.4854591615
"94",94,8660.21920479049,6988.4171670625,10648.3289874389
"95",95,8523.26775749846,6848.89465723572,10504.2137836028
"96",96,8437.85419084971,6798.9432630384,10353.2398664881
"97",97,8355.63348594652,6775.49458758367,10335.8163644751
"98",98,8096.31305015494,6541.44635148767,9925.11436725578
"99",99,7722.790990413,6147.87251803762,9457.92856143266
"100",100,7312.96683319346,5806.52620672062,8937.67367096868
"101",101,6650.32273885961,5435.95432061058,8173.24032682606
"102",102,5794.25199496807,4639.07089136832,7127.2857358962
"103",103,5269.35247092599,4245.85200365389,6438.86700323385
"104",104,4777.55981126674,3835.93993565698,5827.04668853873
"105",105,4380.4587690727,3519.98716624486,5431.2038051048
"106",106,4093.59894107096,3220.18063484814,5056.49021233448
"107",107,3926.75810566149,3054.65624183588,4941.68703059179
"108",108,4440.66258565485,3541.29867944059,5487.06227012473
"109",109,5861.00344049768,4685.78311472619,7181.88319094808
"110",110,6622.41730079798,5270.6201632032,8239.80332278113
"111",111,6902.82593839977,5561.05348055869,8615.6387133446
"112",112,7065.35976071054,5706.76458108489,8795.84710256431
"113",113,7005.04989950653,5612.35071600417,8584.92561257323
"114",114,6638.06745405875,5310.8685030743,8240.60584516841
"115",115,6276.23159048469,5007.5655153117,7707.3243692812
"116",116,5756.35445713473,4648.79143097352,7143.20780536044
"117",117,5264.09908442161,4193.97296478679,6590.58207786365
"118",118,5165.72267890633,4068.72468870782,6338.69098050959
"119",119,5087.55457993504,4030.52476052668,6320.46143098773
"120",120,5395.55945081738,4318.75030542451,6564.91013721326
"121",121,6437.13308839029,5217.50335582515,7882.54809966493
"122",122,7584.58216675309,6036.33437989371,9324.21563627458
"123",123,8084.27627265536,6550.61955949694,9873.38693770694
"124",124,8283.23563660636,6660.66621351212,10314.6289655897
"125",125,9089.43487952921,7313.59217698666,11317.2046826936
"126",126,10208.8497091187,8107.61027426167,12580.5675340198
"127",127,11099.6060242367,8981.10791283115,13830.0892190221
"128",128,11842.419950151,9576.42219662609,14450.7955671334
"129",129,12808.8478278224,10345.6263458688,15703.7079436156
"130",130,13678.2406316826,11007.280555409,16762.6403608401
"131",131,14258.717144794,11284.9373675225,17570.147212085
"132",132,14183.5555249927,11297.205559891,17689.3732246021
"133",133,14055.9851592562,11188.8222251625,17400.2254994879
"134",134,13839.8810471567,10979.8450107409,16967.4373994423
"135",135,13280.8994410934,10676.1328950948,16400.7044078477
"136",136,12207.7155441081,9700.19921056379,15157.0673769496
"137",137,11235.3093159364,9058.23586163473,13723.6893641359
"138",138,10735.8908917322,8682.13960339492,13369.9347655704
