"","time","mean","conf.low","conf.high"
"1",1,7601.90306973817,5923.62064511069,9613.28582823968
"2",2,6598.9309078876,5277.26322854921,8368.23054552122
"3",3,5734.12055174389,4466.77938561309,7367.42744943698
"4",4,5035.54932219397,3985.34501661765,6384.27616975568
"5",5,4658.43668573535,3637.37713784436,5921.38600394685
"6",6,4122.21221669306,3240.08499887601,5293.44000582115
"7",7,3724.29288594205,2900.5258799067,4733.8626382418
"8",8,3488.99311957546,2695.27282770781,4398.2379887418
"9",9,3240.78908487013,2559.31439527386,4149.06785404181
"10",10,3083.29267942328,2406.07776124701,3876.25249967983
"11",11,2796.40034123533,2165.26150198439,3567.07405835689
"12",12,3192.47492618584,2476.1943948369,4044.83264912375
"13",13,4352.23085592442,3378.92665063467,5490.49320786383
"14",14,5142.0003940335,4012.6459514583,6608.86220057454
"15",15,5551.34404908266,4387.91720098468,7060.49525034599
"16",16,5480.82563536726,4263.87022882169,7014.91883254554
"17",17,5054.13543325362,3918.35482249492,6440.15166091188
"18",18,6288.3762344362,4921.9698237114,7805.56312046418
"19",19,7375.6069716773,5711.2608912866,9425.18112898745
"20",20,7999.01899798731,6259.76015232177,9918.10795289865
"21",21,7865.26980029996,6154.87129329208,10037.6271395197
"22",22,7074.77859974669,5519.89379432554,8961.79553503821
"23",23,6773.50532153962,5309.86676496232,8470.82671595959
"24",24,7597.2113089316,5848.06548147813,9735.53788080209
"25",25,8147.13107902314,6365.45146980477,10242.208162482
"26",26,8182.74726147906,6428.7051059049,10311.266274096
"27",27,9170.6427349555,7181.11365706974,11566.2602858921
"28",28,9894.53754258161,7756.65700852549,12689.9459178735
"29",29,9927.78809444034,7718.93887659128,12653.660872116
"30",30,9941.20371212224,7696.45145482077,12592.5872098372
"31",31,9556.37844605502,7390.04941677759,12164.2489025532
"32",32,8469.88855792131,6682.42783722869,10671.9237338902
"33",33,7311.67204812979,5763.57149483616,9245.77740366689
"34",34,6768.24712556021,5243.7697353385,8587.69712710714
"35",35,6353.05148663474,5030.00583947482,7949.04405948002
"36",36,5986.76689217803,4696.95247137559,7554.61931169764
"37",37,5445.60627093245,4230.96215948567,6839.11879248003
"38",38,5076.50506748757,3977.88659577725,6383.95027391671
"39",39,4667.44806782068,3511.70400602122,5910.62036717038
"40",40,4265.2909884395,3285.83493238241,5382.5849630069
"41",41,3893.86495991721,3089.68018558323,4922.73578238041
"42",42,3613.42676655652,2814.0285312112,4527.38217880465
"43",43,3276.0413616319,2570.79772046646,4116.45205576657
"44",44,3009.52530107106,2369.6984295935,3800.34632447241
"45",45,2702.58636104171,2084.942729536,3455.76404628601
"46",46,2583.90112625443,2002.27607187203,3240.39287558449
"47",47,3058.35026961446,2353.53317081118,3912.48676503734
"48",48,3645.74383071915,2868.32553988423,4667.85004643394
"49",49,4117.7784901277,3254.54440605146,5231.00880106696
"50",50,4449.76681646966,3399.55831615143,5623.52783623354
"51",51,4392.55240498872,3398.13425284677,5542.1404977059
"52",52,4192.58770251434,3253.47220358886,5384.26489959682
"53",53,3791.06939919487,2963.41625053973,4848.01537004962
"54",54,3355.34574842249,2610.45755818033,4281.33745552191
"55",55,3317.31187007651,2576.11427903996,4290.75738294114
"56",56,3608.15280782567,2805.49955686757,4536.92406020565
"57",57,4344.02252399743,3378.36298627033,5487.7625921047
"58",58,4461.39579351024,3454.19803631226,5641.63185131756
"59",59,4064.87889128992,3142.83701803946,5134.67042874295
"60",60,3628.24595587186,2825.03618523602,4626.00360601012
"61",61,4375.17957206893,3395.81001186116,5600.74509887446
"62",62,6125.62453128563,4786.7258397793,7727.44967381841
"63",63,8908.49027453627,6930.77135614746,11445.1690124548
"64",64,10240.7014939023,7974.30105808708,13010.3908950387
"65",65,10384.3696357258,7994.07308850469,13256.7304846306
"66",66,9869.8907949673,7620.94944964951,12571.0685134854
"67",67,8777.47892298433,6903.41431143522,11127.2338481879
"68",68,7311.47580960107,5726.4772929537,9117.30855350531
"69",69,6800.69970592834,5481.05540006129,8507.39877694837
"70",70,6845.81142702384,5395.33266565171,8750.6067135945
"71",71,7229.50383337492,5643.56144542099,9072.09592276212
"72",72,7270.17238244088,5639.96111569549,9168.68755326775
"73",73,6497.30415897702,5113.85371140487,8159.19846964965
"74",74,5575.66446946692,4330.13471573858,7077.1447738576
"75",75,5101.25667222882,3969.12445128043,6363.34990627143
"76",76,5622.69681161457,4426.57668099007,7125.62251700727
"77",77,6561.20935777051,5086.8097061688,8352.42029165709
"78",78,6717.50155234185,5326.69248536196,8467.20164266121
"79",79,6434.43862819689,4972.78453777509,8103.93849025253
"80",80,5894.00499709693,4541.79352670958,7403.41391191899
"81",81,5920.87183363958,4619.75442994959,7408.27895150219
"82",82,5942.14226473154,4662.54385741273,7540.45094152925
"83",83,5140.86244606526,4000.10089027759,6484.67369191437
"84",84,5130.35079191191,4015.44586773563,6403.53068632011
"85",85,5182.07233126337,4059.5715310554,6559.00157416873
"86",86,4937.19125626102,3862.51280777534,6232.21294583349
"87",87,5081.50890526009,3937.0974970848,6476.51639291363
"88",88,5087.82883862584,4019.8548001072,6419.84924551853
"89",89,4510.40662463411,3523.20845489791,5820.73437622731
"90",90,3947.08064281171,3067.05101999458,5074.97504595029
"91",91,3493.47106748802,2718.6467647888,4407.35105011228
"92",92,3252.0999963608,2530.053138421,4169.65857111923
"93",93,3472.47963444948,2673.45122104406,4385.36757713928
"94",94,3687.01548087784,2909.2023539024,4662.56937968731
"95",95,3379.98452894274,2599.87195728867,4226.00931632747
"96",96,3052.60787276992,2390.96300228141,3885.85647677636
"97",97,3471.79223642578,2688.76552688389,4425.94483712108
"98",98,3591.15642110855,2766.20651354322,4616.99059405427
"99",99,3382.60197332259,2653.34180813255,4293.47253002164
"100",100,2700.98910873361,2102.27164886991,3463.31446411261
"101",101,2235.03584406503,1744.03987654377,2843.02477847686
"102",102,2108.34741752772,1655.84431311158,2635.83840581755
"103",103,1920.5972372115,1490.56467707153,2418.39947357466
"104",104,1818.28202748958,1399.92684952714,2332.80679333046
"105",105,1510.73832135907,1196.25018687066,1891.33027488437
"106",106,1692.11462591069,1295.68107312262,2162.27994463194
"107",107,1953.26215097817,1514.11512707989,2491.45644005011
"108",108,1611.30188954112,1273.30286245252,2075.04905948059
"109",109,1535.00671709468,1189.38521726535,1955.1492618735
"110",110,1599.16378799083,1230.91240892431,2045.97206167421
"111",111,1148.68085648151,885.559803707449,1466.43314900737
"112",112,1548.5614472147,1208.93364345292,1959.62438988636
"113",113,1565.29498520483,1232.77742908965,2034.86674049751
"114",114,1623.13036293035,1235.47101757099,2045.93429255384
"115",115,1654.36356557219,1283.76345105679,2101.53263596611
"116",116,1798.9642024934,1353.78771841607,2322.18016932769
"117",117,1899.65618607462,1477.83620843587,2398.06040510474
"118",118,2731.98388439461,2102.25686067213,3465.17830121849
"119",119,4502.92970833616,3529.53423324459,5671.91115039755
"120",120,5279.19975855637,4082.6486587585,6769.00615263909
"121",121,4979.11556815485,3829.1559964786,6305.95584862753
"122",122,4196.87859126817,3219.24692533856,5283.70278064189
"123",123,4566.90115583428,3523.45159869917,5778.33227082408
"124",124,5667.78116127342,4415.11152201674,7197.66520569598
"125",125,6786.81150121634,5430.04299030911,8564.96950929413
"126",126,6664.75303675442,5266.37648044855,8474.3019850475
"127",127,6948.64643740165,5450.5932379509,8725.1137133567
"128",128,7898.3669170589,6178.6517026922,9934.23876778624
"129",129,7772.46485448803,6021.33540830565,9875.94207063676
"130",130,7034.10121309822,5530.05246964004,8815.62406229615
"131",131,7143.3600793428,5691.06227626968,9035.61501916184
"132",132,7472.88300134145,5865.41614989305,9387.91008531827
"133",133,6856.74358510401,5381.47004587085,8532.71740489761
"134",134,5800.87931712852,4476.87114969336,7313.01018778607
"135",135,5437.70895345227,4250.39419608666,6895.26045549435
"136",136,5732.43223027365,4409.16884289368,7164.05405392969
"137",137,5405.21239535906,4211.34413681698,6806.11137534067
"138",138,5075.62497077011,3946.65242581514,6455.03814696543
"139",139,4968.72007079497,3751.06643012455,6367.98990242957
"140",140,4158.24260941554,3253.19910371193,5283.14066621428
"141",141,3310.56920965149,2602.48130285032,4268.68126127915
"142",142,2554.88045983857,1983.88230480658,3227.11526966342
"143",143,2145.14449045068,1665.99064690723,2735.57371233394
"144",144,1882.98712487463,1492.27673396053,2399.57789837088
"145",145,2002.66974365021,1557.47873038727,2554.75206709222
"146",146,1773.91644814364,1372.43186900969,2252.93206215898
"147",147,1783.84238558832,1369.11254342229,2247.70169561308
"148",148,1466.83791440389,1129.07475834276,1854.72821594856
"149",149,1575.06439464317,1216.66993520006,2072.76233340678
"150",150,1133.00894747619,886.203279557426,1452.01298839697
"151",151,1474.34844220461,1156.53687134554,1874.2556331811
"152",152,1646.24365455002,1289.81111075971,2107.20610745083
"153",153,1667.77313831526,1305.35089194607,2120.22529484796
"154",154,2149.66038376843,1679.15994302531,2760.76759827157
"155",155,2389.46157550701,1857.66656328398,3018.99705841182
"156",156,2418.37999279174,1844.86755557571,3105.23416073791
"157",157,1498.16816644118,1161.12606993179,1883.84087085361
"158",158,1661.96556419177,1291.0198290654,2142.38756559802
"159",159,1295.68466052849,1024.1129680475,1636.71864163403
"160",160,1254.65557596009,982.59794147377,1616.28604690743
"161",161,1115.38350925847,856.776414774954,1417.6963418402
"162",162,974.339085779195,751.992740123888,1238.23017554918
"163",163,828.269663409235,638.82573784267,1070.42733191304
"164",164,764.288162123381,600.63443001301,967.472519010628
"165",165,868.219776708201,674.097757866845,1092.08832529832
"166",166,1038.88727054984,810.789554330271,1314.77736416659
"167",167,1070.57842130106,833.996101594651,1361.56718520328
"168",168,1008.40619413382,767.011270430571,1294.26974509624
"169",169,946.888185129259,730.132596933797,1188.59320897872
"170",170,634.853151539104,493.21367202687,827.163897715802
