"","time","mean","conf.low","conf.high"
"1",1,183.675856249917,126.440622191589,260.645634363813
"2",2,184.194942086844,128.429929507977,256.273025755977
"3",3,194.912644342849,141.33169120643,268.520889430232
"4",4,235.633663622644,179.124169764963,307.303428275176
"5",5,360.570986882014,295.803209771122,448.114213406634
"6",6,436.746025247974,367.420966103963,520.264621119588
"7",7,422.625561668438,351.288043013502,507.11919292301
"8",8,403.169700927586,335.541426407893,485.043556333762
"9",9,385.83812969675,317.936139819038,473.908373760352
"10",10,370.807039600615,304.669484736095,456.310104828802
"11",11,346.683342706658,283.001873946559,424.823029425302
"12",12,315.484576963058,255.512579881926,390.420712217629
"13",13,296.415076908654,239.436932609674,363.087572027465
"14",14,281.331054563111,228.27358237998,349.64472966755
"15",15,263.591143801348,210.120273133807,333.239871830552
"16",16,246.454370991036,195.955838533769,312.034828198574
"17",17,237.162854979587,184.900336867029,301.735239811511
"18",18,232.823988746691,182.13439828726,295.931196258766
"19",19,230.394075220178,181.193502884812,295.290152729997
"20",20,226.778246664877,176.4620057071,292.166571629245
"21",21,214.569949010023,166.267217611951,279.045651840441
"22",22,212.001610310084,166.719262154573,268.301501362297
