"","time","mean","conf.low","conf.high"
"1",1,382.354844623171,311.267021286056,459.127962575216
"2",2,287.338250875826,234.258735681644,349.898834067414
"3",3,279.16674797736,228.402922692077,340.767008919722
"4",4,307.155463412827,248.754507841863,372.340037763566
"5",5,292.054841510513,236.970034847689,358.165472291955
"6",6,277.382144389205,226.288304972706,336.749322395358
"7",7,272.765066298017,221.837736376888,329.72521946481
"8",8,270.570274320527,221.836361792658,333.164935846469
"9",9,271.017180562639,222.674295161525,329.225754312013
"10",10,269.364415142453,219.065871469189,326.395356234543
"11",11,269.927333582462,222.72747834291,328.090174226239
"12",12,269.110044130318,218.375130437984,324.630062262135
"13",13,265.62581781481,216.482714589246,322.264194824521
"14",14,266.15566767598,220.30805677923,320.109842003568
"15",15,267.722762117237,220.5178778582,325.179785572656
"16",16,262.735713458746,215.66797946273,318.020660199115
"17",17,260.314454116265,212.795379775777,317.521103383377
"18",18,256.989152650773,210.89324137159,310.640450938374
"19",19,256.879925362748,208.672251714455,309.809204510465
"20",20,256.993937855775,208.909325118332,315.6584637084
"21",21,255.937398378581,207.49276225009,312.004895054556
"22",22,252.934507553798,206.904381571258,308.793722698053
"23",23,256.554938934013,210.432259968475,309.406421978052
"24",24,265.400651826719,215.05775017148,320.420183240584
"25",25,283.07154319198,230.336883384961,345.431554413428
"26",26,415.770010212891,339.927858444007,501.342815422696
"27",27,350.830337596322,286.037395541712,426.868999664109
"28",28,307.180830505949,249.203262584424,372.926285616194
"29",29,290.310871727949,236.286043589334,354.669396389855
"30",30,283.001587292161,228.782056101769,340.554170521897
"31",31,277.953689546793,229.451870565412,339.226719171769
"32",32,275.863799713567,224.291368180512,337.193931861147
"33",33,272.14095109201,223.398432502785,333.713460164093
"34",34,270.405094221606,218.909347808494,327.086436246394
"35",35,269.755483521655,221.88749943966,326.054586732894
"36",36,265.174784822003,218.058088991359,326.424463954865
"37",37,266.5610937078,216.581110737133,321.870253013439
"38",38,268.632435956933,217.911285719882,329.994557511291
"39",39,274.922723032694,223.744416558253,335.063777387385
"40",40,277.460666042355,229.307376389467,328.288156098441
"41",41,297.858149078257,244.159759260654,362.171022684094
"42",42,293.781858936261,239.53585855445,359.670185536557
"43",43,285.157182000518,233.076408093704,344.848849222225
"44",44,328.611868940122,270.425954082326,394.849966875463
"45",45,345.73183382162,285.453430943798,418.595844603936
"46",46,390.490289258973,320.362173382594,469.956328526964
"47",47,572.707255042255,462.571074835816,695.96134189398
"48",48,1865.39251039574,1503.00186194599,2311.00083862052
"49",49,2642.63470675953,2104.33772936886,3336.23537265337
"50",50,1863.64030908971,1471.94874747779,2329.35637365981
"51",51,656.307863889378,523.054959704878,797.164506498449
"52",52,468.823809213277,376.636562792319,573.658228521984
"53",53,408.672112783185,328.622470025372,501.195171649562
"54",54,781.25829668756,642.707397752563,948.14013661115
"55",55,1578.56909049934,1255.87077688103,1953.32828026219
"56",56,1446.29454356114,1159.48699108619,1802.19799279291
"57",57,766.416032665696,626.013939378301,937.476652595911
"58",58,623.801017027708,507.30620776878,770.837322407358
"59",59,547.105905672805,447.848487981902,666.457372859709
"60",60,470.207754349093,382.898647250967,569.986374679332
"61",61,606.312101794427,494.999394064479,741.333024570724
"62",62,2319.03495512525,1878.22909868765,2908.40045844138
"63",63,1641.03296796776,1318.04147894637,2042.36485446986
"64",64,965.381159118031,783.297348795864,1172.58888165313
"65",65,810.869619581302,657.137413641655,1010.3204355528
"66",66,593.067012679788,483.977325961331,725.959164365633
"67",67,509.315494925376,414.333216932359,619.872071753413
"68",68,465.463521574242,379.54686599014,559.683812220166
"69",69,429.290669853304,353.426366744049,524.006893997974
"70",70,405.921614697054,333.481496417811,493.811847003265
"71",71,385.502573585664,317.120445839729,465.003120356233
"72",72,373.370321734243,307.098094597425,449.171227939105
"73",73,363.00912200861,297.218197749756,440.041541306073
"74",74,355.890121117566,294.955965470589,428.144866370569
"75",75,354.479945374461,289.608121309503,431.085975828584
"76",76,381.488413821977,310.679146646101,471.341933983706
"77",77,572.444586077088,458.85919648593,707.392491899781
"78",78,438.191025114502,358.857095374147,533.956425308974
"79",79,400.470075695302,330.382792020244,482.534438836503
"80",80,386.080828628163,312.296938149964,473.364680142586
"81",81,380.573194887477,312.700229553909,465.856381609294
"82",82,374.859102124398,305.276665245647,460.084539856998
"83",83,368.138621220827,298.779675666577,443.387642150577
"84",84,353.831229281812,287.84809910826,425.366200611435
"85",85,343.171114762389,278.334299663134,419.658394430704
"86",86,338.235266557552,276.055853688297,418.378941030326
"87",87,337.650424719147,276.20379061865,407.367010845307
"88",88,338.276554284983,278.940406496623,406.962529409181
"89",89,340.508385508379,278.618159729444,416.707964884423
"90",90,334.491852006702,276.945462838098,402.633905314507
"91",91,320.27154436092,261.485326297153,391.436027914938
"92",92,308.515367081801,253.942060412508,370.422625160316
"93",93,342.67403395381,275.725550239223,416.462316836596
"94",94,336.486428908698,271.849344219301,407.629324794351
"95",95,329.335488954029,267.978675806129,398.49789223041
"96",96,326.125716805255,266.526759909173,392.300328916105
"97",97,323.108487534132,268.022925740825,389.260795183392
"98",98,320.726191149662,264.522510338076,389.000314647478
"99",99,325.214517806688,264.84700678583,389.034694991465
"100",100,349.490727996143,282.69987693467,424.194775520414
"101",101,365.606621941922,299.862988652951,440.357652138997
"102",102,371.482660173574,301.539929743243,452.483815173776
"103",103,360.998054106974,296.738620832664,441.121096362862
"104",104,350.264119499906,288.27086313183,424.51571164152
"105",105,343.576693422732,284.269295461478,415.182414185445
"106",106,339.420683655572,274.448697065575,410.561429614628
"107",107,332.543263661362,275.635439439182,404.480858947874
"108",108,313.243203908144,256.214484015237,381.590180520618
"109",109,318.782843447184,262.752023494545,385.427353399071
"110",110,329.678015769571,272.711723932133,400.524414070085
"111",111,323.910172393836,265.013893551621,390.805936141348
"112",112,319.217077765064,258.65041266026,383.740611224259
"113",113,318.079408659819,260.665382060446,393.867480871082
"114",114,325.357625385443,265.587002121827,396.08904301528
"115",115,328.680656647008,270.231696487633,400.088571382738
"116",116,331.018917255977,269.895342533407,406.364304662684
"117",117,326.653624538563,267.709666377275,393.884588254277
"118",118,327.358513619651,266.619590454247,393.156864063794
"119",119,330.82056974932,270.409938710695,396.114897378164
"120",120,331.415829884495,269.562543307692,397.557171891132
"121",121,340.163038399166,277.093239755026,415.601520776441
"122",122,353.214593984332,288.264130125739,427.665841470452
"123",123,408.149422735433,335.115149031143,493.598742015117
"124",124,481.487569359317,389.468323859768,580.50482966398
"125",125,525.5922287557,421.09844123724,638.807988188457
"126",126,659.163688952137,529.351097328095,808.512765739319
"127",127,639.243638664441,521.490235247195,777.69303968387
"128",128,533.291947988817,436.669223735071,642.844991518137
"129",129,463.297374846661,377.402838362946,566.703829955919
"130",130,423.890422374636,343.49642166878,515.909035318005
"131",131,403.436038746381,333.315003316206,490.188771720308
"132",132,381.438906435568,313.554754317587,466.319437155003
"133",133,365.027628320493,298.863673116755,442.995889938013
"134",134,352.865540929064,287.461873244269,429.192998356831
"135",135,346.173512708274,285.128014034256,420.868538130665
"136",136,366.142809708775,301.548521430748,439.00390480153
"137",137,378.8343927742,308.402155477555,463.180504786397
"138",138,382.005187404749,311.594109169096,460.337324310186
"139",139,380.383106557156,311.333111278638,464.936977166373
"140",140,372.931106202898,306.355553701153,455.458537912925
"141",141,367.470407037741,299.157221577922,445.276895752482
"142",142,362.929618413121,294.226727470695,442.969813411867
"143",143,360.226950488574,289.318392815097,441.537382791307
"144",144,353.595543159573,289.656487327361,427.332742029073
"145",145,351.902745234241,287.227778527754,422.459912800575
"146",146,353.429248662919,294.326153594561,427.735645358291
"147",147,356.742610675237,295.069395578923,433.553920677831
"148",148,358.388464574035,292.47455593543,432.777960680997
"149",149,357.617019034201,294.591764012053,432.221519701693
"150",150,355.073725231742,290.828296896944,431.044760101416
"151",151,351.69243884474,285.5083450419,430.783507273077
"152",152,348.183005481878,286.454873061064,418.511854447835
"153",153,350.934213293749,290.197095364701,427.088734699589
"154",154,351.440721195881,290.22553881804,422.351222320741
"155",155,349.214212647222,284.989050739854,428.741338378105
"156",156,364.09616181844,296.567304609367,443.054698591459
"157",157,380.511610157389,311.361862096143,461.312099196193
"158",158,392.173611741474,321.328151455582,473.901658372943
"159",159,381.678229965133,312.420656902806,462.401115480534
"160",160,406.210430316592,327.561617139099,500.453494347212
"161",161,393.395872362742,322.11947611035,473.627687717746
"162",162,389.440040181926,323.40174619055,470.673641191585
"163",163,387.531430912717,316.267098123004,475.78192852484
"164",164,393.193966443159,320.307790811385,485.281532538389
"165",165,390.551208809772,318.224425784882,470.451246780275
"166",166,396.797955997743,324.364601242499,487.208701888745
"167",167,343.627919280986,277.946670455156,419.643976836318
"168",168,379.916080613191,309.631489003188,456.313486529823
"169",169,374.314217541925,309.30122618821,455.617781453363
"170",170,367.458250266989,303.418701761902,445.337906636678
"171",171,378.193592717251,309.69188520871,455.064444764362
"172",172,382.005323210192,311.5363195228,464.511026144507
"173",173,375.410817160487,306.364363193845,455.628826864621
