"","time","mean","conf.low","conf.high"
"1",1,13952.1593081719,10442.3696134597,18379.727736528
"2",2,12974.5032737723,9795.45586570421,16956.5024725661
"3",3,11069.676734031,8253.63871774896,14417.0479062144
"4",4,16624.8416595357,12303.2255699785,21680.2799559464
"5",5,17228.280073728,12914.5313067531,22434.2175563707
"6",6,12706.8111328248,9586.0180766294,16613.5426718075
"7",7,13033.3044132708,9765.70312316115,17049.4271298906
"8",8,12919.8016465727,9697.02978206175,17169.504737053
"9",9,11890.5106000428,8931.77373670526,15630.0985461808
"10",10,10406.1021184978,7880.13696223994,13512.9953368189
"11",11,7944.33662986326,5953.64096927965,10415.0167495714
"12",12,10648.6714594367,8033.58393285191,14001.0747855004
"13",13,6933.29018946729,5165.80889938247,9009.77283821527
"14",14,9242.86152442181,6758.41971498644,12227.624460066
"15",15,11801.6728903911,8990.70528943145,15324.8233377269
"16",16,12132.9087948841,9263.43258629762,15943.3912538035
"17",17,12512.2400503039,9290.91642441491,16503.0191784889
"18",18,13615.9140426939,10191.0410411605,17915.1650795381
"19",19,12524.5178852265,9098.73999865948,16495.7346813714
"20",20,12688.8996619302,9639.24923046557,16548.6173415192
"21",21,12813.9987266476,9810.80014415229,16989.3286090207
"22",22,15497.0384322394,11553.9283071523,20373.1588809771
"23",23,13457.5784445594,10172.5102505943,17754.7467869393
"24",24,13925.7842016613,10472.6688194166,18305.1292015509
"25",25,11698.5551489913,8838.50163260108,15052.3150795929
"26",26,12078.5722574936,9168.76272429964,15631.7280139385
"27",27,12968.0711396307,9619.63115805108,17024.1470099784
"28",28,12952.7909078103,9556.5319540687,16684.8675927655
"29",29,12710.885970947,9560.3829649439,16542.4196474806
"30",30,12308.5062884387,9295.75647566763,16105.3258972735
"31",31,11914.5501882842,8887.10599900805,15410.4262299263
"32",32,12432.6370649194,9203.563069649,16475.8509803892
"33",33,12450.6507053545,9273.9354278743,16334.6692293074
"34",34,11883.3807450901,8974.03397187488,15490.394038733
"35",35,9307.06102476046,6873.51390284307,12071.2060656798
"36",36,12162.6135244321,9051.86477702641,15660.8519725444
"37",37,12976.4620967397,9781.58953675167,16991.134996106
"38",38,16253.0509738013,12344.6347568528,20887.5484476942
"39",39,13958.1360720984,10466.0907574425,18333.9255842197
"40",40,11812.4237580816,8946.21454031127,15422.71928916
"41",41,11988.0988989756,9175.80922055125,15730.9705967503
"42",42,14834.5291247122,11106.066278567,19284.5405693794
"43",43,13331.0963698339,10055.8378376322,17216.9354590274
