"","time","mean","conf.low","conf.high"
"1",1,626.536798593991,515.754103386761,756.962944793233
"2",2,660.684906968662,550.679741398593,792.162065303891
"3",3,856.694056877062,703.99960557146,1027.95119980021
"4",4,776.514070944205,629.237594989901,928.954414225855
"5",5,732.258402783379,605.791031910131,875.499120114132
"6",6,794.626934816122,664.962537207565,941.007075088135
"7",7,789.362226205318,654.075139085119,944.236823305524
"8",8,746.98379747198,621.148263950179,889.70779895693
"9",9,699.54726909693,577.596610384194,835.781829350371
"10",10,683.368776690374,567.856117268236,820.293732406084
"11",11,652.173283390616,547.342693209628,777.482047265388
"12",12,630.256865476004,521.787894100445,756.140563188671
"13",13,633.404849716988,529.981029253531,750.46708536487
"14",14,840.661278112843,704.085854149788,1002.81711103403
"15",15,1177.53715100463,983.65223139726,1416.58678392696
"16",16,1359.86799651631,1124.62778227927,1615.04048621905
"17",17,1396.59656881733,1165.5441529197,1657.27583691701
"18",18,1070.52524898787,892.342194731023,1262.68928564033
"19",19,961.095905254085,792.857140957623,1158.09394468691
"20",20,936.508647670709,780.297848751776,1111.35053931642
"21",21,975.278339938339,813.550005126908,1168.53374983053
"22",22,1139.24137245878,935.794746135691,1360.40364432054
"23",23,1041.70531629894,862.380769047952,1256.17141932471
"24",24,943.526318378878,785.746000785964,1131.36829608818
"25",25,796.088034808039,664.980999155415,948.448262013592
"26",26,728.181458144085,602.055404342773,870.230375391102
"27",27,814.855590380114,675.593120284004,973.279960362642
"28",28,820.395526140511,684.355262026572,983.568672579156
"29",29,823.402519381144,686.087440969117,987.033112032295
"30",30,798.959358157879,654.288705369446,952.206488366639
"31",31,735.81927012929,616.901371065172,875.190370042507
"32",32,788.788210925416,661.142229214091,937.504801080291
"33",33,776.689106231599,645.72017112667,927.828839736818
"34",34,757.829753251645,629.437701203161,909.037231356419
"35",35,713.742023445585,588.606790838202,843.120329796288
"36",36,685.1914562518,566.215819263983,821.907369914628
"37",37,687.532466989692,569.782907158395,821.354669978709
"38",38,916.405524336925,756.577417888276,1084.67944423333
"39",39,1332.8982884539,1123.21217816436,1582.32988354202
"40",40,1182.22378293712,978.641705023771,1404.46440682302
"41",41,1077.54267886823,894.3315118932,1295.00087135244
"42",42,1034.27011554189,851.931979314089,1225.31419088362
"43",43,940.4499650184,787.644759659285,1121.47537732321
"44",44,895.399442859404,741.93540678629,1066.22410775203
"45",45,829.904039074399,689.602721699343,985.978892869922
"46",46,867.353626090031,719.311134236396,1038.2373394865
"47",47,681.530561754708,562.85605277554,810.218328529273
"48",48,694.893315341146,580.685227292867,818.068416474305
"49",49,660.469874237038,547.270794891943,781.120141370436
"50",50,725.259811479505,601.265895143493,869.762777514243
"51",51,759.485761750215,626.957735236811,914.480125540732
"52",52,866.247299260405,730.409654118774,1029.84893582907
"53",53,835.096807235396,699.331285446085,987.605206303906
"54",54,773.393625420147,640.674393843928,927.515784772967
"55",55,807.936387817195,668.941694992457,957.12055278379
"56",56,764.191667688966,641.895917519483,910.730146468713
"57",57,830.593046190691,684.371431670632,993.438730749656
"58",58,808.335904250543,663.7521576811,978.429015855687
"59",59,795.295222511786,659.803406104377,948.180707681608
"60",60,747.585567968197,618.004598329998,888.50306993684
"61",61,800.566456510906,662.179875282715,967.067128176904
"62",62,814.628655038638,682.941124163807,963.784013278873
"63",63,788.632024554361,650.294338943917,947.345425901206
"64",64,814.622841169113,671.459040955853,965.209485795878
"65",65,843.760188358527,691.479461785578,1013.74534961938
"66",66,784.414649759768,652.011915224508,940.319810118613
"67",67,732.125757174083,607.755036629437,874.193254455345
"68",68,671.600952539736,549.964424200582,807.630338576158
"69",69,736.082077426614,606.499752341524,877.720023808848
"70",70,748.270272872967,622.519354142053,891.825782276288
"71",71,690.15240306045,570.884333557129,825.636236520136
"72",72,733.14583719403,612.449496313033,876.103068515996
"73",73,704.566470065376,582.713109511253,840.160346710746
"74",74,692.753507761963,580.865050115875,832.555737256652
"75",75,587.022880850713,487.829589797201,711.066432396232
"76",76,601.997659425165,496.552593214199,713.978912319057
"77",77,582.435297891263,484.360398857608,700.880037904941
"78",78,580.945641073236,483.690558953502,698.20313963481
"79",79,593.689318384848,488.839294487082,703.777506367176
"80",80,586.943131074049,489.395287318854,702.612001063867
"81",81,550.208581813061,450.176816405235,664.714193496828
"82",82,612.907873866225,509.018967583254,732.434999296531
"83",83,706.113833320748,577.674526551776,845.927535312552
"84",84,582.981166778388,477.875797608365,699.755163121677
"85",85,589.752174671999,484.665197704132,710.469960526398
"86",86,664.383593659549,549.797008298211,793.458160872148
"87",87,736.014429448911,612.845503381156,880.713095442001
"88",88,778.938575629175,644.595698460359,936.070034840037
"89",89,697.570955429644,579.750290778156,847.037055377033
"90",90,734.347584543858,606.276785286899,870.24453088169
"91",91,902.442518936062,752.4249182032,1072.50846345409
"92",92,970.162729614594,799.290133007749,1156.95827417524
"93",93,1062.78675979189,876.70632411705,1288.2532589047
"94",94,932.176173510562,776.419438021852,1124.2786153213
"95",95,875.357463338514,717.22701280096,1052.32621729416
"96",96,892.024442201989,740.324796875122,1058.30781667529
"97",97,766.688456515504,630.342458869002,925.795815726462
"98",98,776.908947510759,645.379879944655,916.177211454197
"99",99,782.42902645217,646.739971878901,935.430125466935
"100",100,901.958480033808,737.861771666212,1079.63304537973
"101",101,794.553864687945,662.756455149499,956.550222333866
"102",102,683.914310645044,560.161581935346,825.078605977514
"103",103,575.656250822624,472.179020427977,688.459736071797
"104",104,702.112795472552,575.294687767424,844.105726998117
"105",105,744.975012335441,619.192588819636,900.571022924473
"106",106,677.31359114849,565.19746805829,811.260218323575
"107",107,630.237726244415,515.514417434222,746.619138737044
"108",108,612.384015471279,504.177474273603,727.88638558116
"109",109,601.251521843325,496.215792625768,720.252123071868
"110",110,507.480136126766,419.479173099244,607.913880255119
"111",111,566.07859292039,468.695331199252,680.734084460921
"112",112,534.877704953403,440.524847603599,643.411477009697
"113",113,546.653864657126,450.512220561846,657.847094017711
"114",114,612.931791333315,509.163089557986,746.138526388041
"115",115,678.017714013413,566.022656556481,809.753517274457
"116",116,620.026187392446,515.717488330587,735.049667247362
"117",117,557.439578218213,461.308640866966,667.21344053335
