"","time","mean","conf.low","conf.high"
"1",1,16440.4197278751,12960.4421081427,20417.9195394409
"2",2,16442.9349136137,13189.0028433591,20230.5314925211
"3",3,16169.7227227755,12810.8439954963,20099.896663904
"4",4,15363.9425950395,12030.1870484662,19180.0933545679
"5",5,13950.3297274752,11120.0053008973,17451.0719025484
"6",6,12213.7944032112,9778.6155450718,14818.7927328481
"7",7,10690.6974551105,8469.60138098279,13175.0796839747
"8",8,9531.09299186019,7597.77100181242,11610.7520402883
"9",9,8624.17591808291,6851.97082731573,10587.0854278052
"10",10,7939.63700191597,6270.61169559722,9790.90223417619
"11",11,7449.00822552883,5883.9676898203,9076.21977898425
"12",12,7184.59724867654,5767.64002025362,8828.32714272521
"13",13,7164.57559148192,5744.0649940641,8917.16253955663
"14",14,7883.41700607156,6241.25163039599,9545.83447136127
"15",15,8971.64992549614,7164.6602338388,10961.4455723781
"16",16,9794.5935492193,7806.1457527633,11979.2500395864
"17",17,10202.0271336664,8088.0882624779,12606.0933813733
"18",18,10531.2217639786,8390.57084079361,13097.2335380912
"19",19,10745.6558608087,8588.35500469057,13152.6199073146
"20",20,11221.910445765,8886.56152175583,13969.0262489795
"21",21,11829.3692991437,9404.42303998001,14550.732749445
"22",22,12353.1518132515,9793.9391815075,15309.5532623848
"23",23,12863.2682945051,10072.9797007911,15904.6818414074
"24",24,13620.3126028586,10766.3237410399,16894.4894951914
"25",25,14203.5970390968,11260.5183155781,17678.6406400979
"26",26,14828.2678506876,11738.5925048583,18497.6941763187
"27",27,15529.8382824258,12432.0863452608,19273.5457549204
"28",28,16276.1224211769,13051.9085936349,20071.1685744438
"29",29,17155.7725865793,13609.8004556025,21488.3897855744
"30",30,17868.6575609045,14339.5478393366,22112.7546418632
"31",31,18579.6871892286,14633.5545933469,23158.0366025395
"32",32,19000.1579969445,15156.5358942455,23585.2231628418
"33",33,19475.6826060215,15574.9139614932,24614.6536562171
"34",34,19550.6102820275,15621.9116605982,24229.6461156815
"35",35,19291.7953691035,15345.4760149429,23939.240627393
"36",36,18679.050950393,14915.9144577582,23239.7770482535
"37",37,18057.2677662248,14497.3572028023,22475.434533237
"38",38,17116.0006979205,13831.6388425357,21287.2666702708
"39",39,15645.8498925535,12273.9052026588,19283.2269063521
"40",40,13927.7709121051,11220.5506327385,17106.3660982963
"41",41,12366.7001754851,9966.35860389737,15150.9021464529
"42",42,11148.3428370596,8906.18529447658,13819.0283915673
"43",43,10205.1151586731,8129.97177589556,12430.6137847089
"44",44,9534.46813436335,7582.96640603556,11879.7624561068
"45",45,8684.56800733968,6981.4370943676,10695.9994974672
"46",46,7917.52736558783,6288.09701032978,9767.70389363476
"47",47,7444.14354509882,5981.96584089415,9184.86116866166
"48",48,7240.99868859995,5815.49673699355,8968.22629582876
"49",49,7409.8411363328,5808.36330128938,9187.69237925964
"50",50,7788.06050937259,6153.09738322508,9521.38115370637
"51",51,8175.88292400125,6413.04562029352,10291.3683482321
"52",52,8466.83001986997,6751.79995379111,10327.057223168
"53",53,8290.65844209145,6653.32598806342,10204.0697721208
"54",54,7810.8604316487,6175.5596696093,9683.31380916518
"55",55,7316.70397168917,5776.27901800734,8983.60455070578
"56",56,6963.08899774799,5549.42321793564,8551.39914824393
"57",57,6844.00675197543,5406.6018585967,8389.00448513498
"58",58,6990.36299020799,5560.17097388737,8518.42052835388
"59",59,7252.97093257643,5758.12656878297,8787.24694749213
"60",60,7555.27016788153,6023.10377432764,9332.14147253907
"61",61,7618.59984496314,6018.30777055499,9547.74714695373
"62",62,7665.96375862392,6139.77930012538,9394.29573872729
"63",63,8131.55532123767,6493.54999281977,9951.56677667964
"64",64,9353.52187886071,7417.0211624508,11509.7569528978
"65",65,10976.8955872524,8716.7524488613,13610.8315104915
"66",66,12456.69982279,9998.9565684554,15304.9223000791
"67",67,13413.374759104,10675.1549415705,16749.1113299298
"68",68,14529.8025988447,11570.1598151534,18144.3738356025
"69",69,15295.722507586,12243.4859919799,18874.2167811526
"70",70,15927.133624812,12800.996310765,19933.5072212661
"71",71,15744.1909731782,12519.2887697279,19423.9003079857
"72",72,15164.0852229965,12091.435871462,18727.7309850485
