"","time","mean","conf.low","conf.high"
"1",1,3091.0229085704,2268.47933230485,4136.39511922294
"2",2,3056.29079363673,2241.25521286906,4012.35538660885
"3",3,2924.75949566677,2148.72273415554,3930.84726175715
"4",4,2733.67679179139,1953.58151890991,3765.67460502511
"5",5,2730.59854948671,1984.82053068224,3599.95893311599
"6",6,2686.44472297166,1924.79349225351,3550.31786418757
"7",7,2628.43136442733,1924.64235266413,3546.85589628552
"8",8,2576.38882560638,1913.64749086863,3390.93515979065
"9",9,2436.85149031113,1809.82801525923,3240.92382296512
"10",10,2398.34320836452,1718.64445712127,3154.22712183004
"11",11,2433.82212588256,1750.1240760896,3297.17315894265
"12",12,2456.68352623959,1787.21588192241,3379.79919556237
"13",13,2404.86642105202,1767.34077093536,3229.20094551078
"14",14,2410.89486945492,1750.11525535171,3237.86641557984
"15",15,2327.45132390442,1673.89559107151,3151.71245870898
"16",16,2312.90807165605,1666.68508828993,3067.0288444736
"17",17,2297.77491851983,1682.59803524812,2992.54151064351
"18",18,2244.29950662119,1635.41640566236,3026.30093083119
"19",19,2274.06505444702,1646.98202034959,3076.87363579993
"20",20,2267.36404868742,1633.71963354729,3000.57395376217
"21",21,2265.081641077,1642.10347687666,3003.35001755285
"22",22,2280.86257605525,1649.85937489348,3034.0121557519
"23",23,2339.90969501851,1678.0503269463,3161.47180660613
"24",24,2448.72594015105,1736.67724763688,3378.15197435605
"25",25,2396.40125117923,1739.16934520046,3193.14888286783
"26",26,2432.76734876065,1751.19758713488,3201.54352840979
"27",27,2659.69944095915,1918.40699026281,3540.90434378781
"28",28,2751.3932283849,2002.15270760887,3699.7447222729
"29",29,2771.66293097475,2029.76220390819,3711.636987949
"30",30,2751.5876427482,2002.70493359427,3714.13483869853
"31",31,2740.72231042525,2032.53725632342,3591.37258514684
"32",32,2802.96048672504,2037.88147672244,3805.24348432032
"33",33,2899.51962347225,2147.41874118751,3912.98250282951
"34",34,2934.64295750763,2158.77913583282,3900.91250382475
"35",35,2953.01761760387,2116.0640677861,3905.02642016193
"36",36,3230.59769257049,2323.17877375555,4299.68011925252
"37",37,3444.75268969238,2545.84605512929,4537.61336634111
"38",38,3489.66851598214,2627.03074024964,4619.72832996359
"39",39,3625.87080859271,2729.81362905296,4788.729103565
"40",40,3700.59670787647,2773.21589605815,4834.08398479036
"41",41,3587.27103179036,2635.62270960172,4879.25187668105
"42",42,3419.75600075216,2576.8232775662,4531.55778620794
"43",43,3265.36363719849,2397.61425976827,4272.40806432967
"44",44,2985.28657852883,2212.76614575504,3976.27551893463
"45",45,2753.25903601605,1985.41059993583,3718.40232747075
"46",46,2720.66416670674,1991.98394710217,3658.93647915281
"47",47,2665.52597835905,1925.9473898524,3525.12409454837
"48",48,2692.50724121265,1989.1295056971,3543.97660104021
"49",49,2728.36817732322,1960.93905922146,3646.58150585058
"50",50,2810.9197392708,2068.83312690174,3673.57166504785
"51",51,2859.3328191255,2127.90345892612,3863.59221239524
"52",52,2766.93154568349,2002.56012976261,3660.02785278296
"53",53,2712.54316092342,1994.73999702959,3717.12315912466
"54",54,2642.8423584387,1940.16179743518,3597.87168729168
"55",55,2631.63358468296,1957.7932969902,3574.65094402447
"56",56,2690.93730839626,1979.53646515143,3534.50687743321
"57",57,2670.94464415729,1931.0075570281,3591.63701226862
"58",58,2597.2936526509,1928.64520687713,3411.75397906401
"59",59,2599.97890208007,1875.16853190911,3473.71039529405
"60",60,2590.89071072186,1920.15455793938,3488.25907316694
"61",61,2750.86472029533,2039.6402834528,3772.44389382116
"62",62,2722.8120124325,1979.62496698551,3661.91937843632
"63",63,2739.04947098053,1990.14411209957,3623.03041295411
"64",64,2812.49162518167,2097.06572206519,3699.1079577376
"65",65,2947.77658120287,2158.37581935108,3898.74374965549
"66",66,3088.14656818336,2258.05222060241,4036.48960692261
"67",67,3379.29647312449,2459.4205840461,4467.11827151573
"68",68,3443.11541113666,2539.09445637635,4480.83628634564
"69",69,3384.31154270176,2502.04425064382,4548.17797934799
"70",70,3241.23706007498,2438.89507592603,4315.33627051085
"71",71,3017.50560237272,2209.3731876059,4038.73078945365
"72",72,2928.76144064921,2138.27130519167,3960.65558552841
"73",73,2969.85677443301,2247.08646323142,3926.24202774352
"74",74,3067.09064425775,2275.68177055783,4050.98315691201
"75",75,3245.05310631593,2364.97740111496,4312.48940069305
"76",76,3445.62809061712,2508.27636592258,4584.5042442003
"77",77,3459.17360672538,2549.66769782769,4593.4609005578
"78",78,4239.68912049372,3127.46208314616,5648.11885697833
"79",79,4609.81426242617,3344.77277478769,6173.66410729865
"80",80,4494.64075560087,3360.91607439856,5953.63968803956
"81",81,4268.20313899196,3132.75106575785,5644.41290077127
"82",82,4099.17213947661,3030.3910354808,5357.54997319299
"83",83,4654.82514692748,3487.53509250865,6129.08169797645
"84",84,6038.50055858234,4528.94832986498,7912.18335259291
"85",85,6445.44244374025,4721.14606864339,8415.67638582338
"86",86,6478.23798438237,4776.54459128889,8727.50566644227
"87",87,6429.04189984125,4678.07898298135,8448.1045009692
"88",88,6254.1817565012,4669.62167010044,8339.79275127338
"89",89,5760.46983137991,4218.48890783581,7666.4106788298
"90",90,5130.54727666254,3794.96083186884,6858.90915326879
"91",91,4913.25511681208,3620.30651749384,6490.23795569728
"92",92,4800.97567899152,3531.39088934629,6326.60140081879
"93",93,4893.035284036,3649.25442096242,6524.25399208516
"94",94,5007.9634676288,3647.34269098428,6652.04739576884
"95",95,4910.46122356111,3640.24388282945,6388.09408953497
"96",96,5014.01375391793,3768.56603128407,6621.70674267461
"97",97,4782.85320283833,3569.36217090122,6395.02445654822
"98",98,4351.25729041118,3249.4873208533,5593.83118595946
"99",99,3900.4013303157,2899.74573785859,5097.68694622154
"100",100,3584.72650372765,2652.59233040544,4740.40605619608
"101",101,3474.43608470358,2534.17732012019,4603.13628907874
"102",102,3459.89842507298,2517.55463362488,4638.48475048087
"103",103,3361.4895632377,2474.01843296672,4395.20099823638
