"","time","mean","conf.low","conf.high"
"1",1,169.719626806468,115.31987502123,235.539604368825
"2",2,171.911385663125,117.532873113809,235.099029585205
"3",3,182.578914044117,132.945961532794,242.70746173169
"4",4,224.394784137382,172.102691928004,286.636262850952
"5",5,350.799689526642,286.243697522493,425.027799008086
"6",6,429.302571022989,356.186588542316,513.251495866059
"7",7,413.768223006205,345.666088150984,490.637946271895
"8",8,395.036562445006,328.580318444064,476.281532014771
"9",9,378.733358118016,312.505061087442,448.215482857189
"10",10,363.547652541418,302.337174131753,433.885480702889
"11",11,338.2520238554,280.628979918379,406.638844668158
"12",12,307.343415883828,249.934198062345,379.555103205848
"13",13,287.510527720776,232.553369469894,347.281602248707
"14",14,271.225111993904,221.971959905461,335.955219431608
"15",15,254.527881971855,201.783988153813,312.155338585072
"16",16,237.143068963109,187.012949495724,296.484609141518
"17",17,227.204055867097,179.706008738773,284.045514552342
"18",18,223.652295873271,175.104468470426,279.307382791003
"19",19,221.658193648904,171.886766201558,280.040254155588
"20",20,217.497959852669,170.699376050992,273.052609825409
"21",21,204.691092165767,157.707886075955,257.409835900994
"22",22,202.983729442352,157.802624966068,257.057148395438
