"","time","mean","conf.low","conf.high"
"1",1,12769.2006554867,9485.21361365125,16812.7738727921
"2",2,11984.8095866293,9008.05011527393,15525.3071767432
"3",3,10355.1145329786,7728.65092886843,13423.9405050342
"4",4,15976.5757623763,11805.6052392649,21006.0106002796
"5",5,16899.3660548226,12677.4578824084,22188.6960585362
"6",6,12691.0118771818,9523.81874770581,17019.9400590609
"7",7,13038.8988341351,9594.58831259969,17237.6220782654
"8",8,12772.4703903715,9410.31453733634,17021.8330116595
"9",9,11626.1326746673,8601.64470484397,15103.1329635923
"10",10,10115.9915693219,7676.22368236666,13120.9732292491
"11",11,7581.60565876907,5714.96216809863,9990.80449757133
"12",12,10142.3098147535,7609.93860694769,13435.3123168991
"13",13,6610.75848611099,4937.58597236562,8617.21686125112
"14",14,8755.71473455084,6566.29167110347,11340.6852750738
"15",15,11086.7841671194,8419.04363293072,14389.9256049199
"16",16,11290.7824946769,8569.08461598013,14841.089442608
"17",17,11566.4155965436,8712.51045537247,15470.6754399001
"18",18,12598.6481481598,9190.72097542205,16262.964319979
"19",19,11681.1126389292,8628.84787173613,15253.6388059755
"20",20,11879.3307481238,8936.14598734063,15336.0089889812
"21",21,11996.4224647265,8908.26247398499,15677.5672975625
"22",22,14491.3232591919,10876.8809244649,19295.9453298664
"23",23,12780.1826096991,9529.83239290415,16525.5341353293
"24",24,13303.4802096479,9849.75227158171,17309.1044490894
"25",25,11138.2388321639,8314.43865049225,14713.0049070194
"26",26,11459.8442481351,8619.32001330689,14634.2535364954
"27",27,12130.3720777673,9173.36850739797,15841.8643362956
"28",28,12097.4795551607,9020.89777368099,15706.5765797787
"29",29,11722.3895562648,8767.55981092331,15298.8600029785
"30",30,11323.3613224762,8400.46788529175,15057.6498703926
"31",31,10841.6809864624,8155.10528787462,13929.5937260873
"32",32,11263.0755885695,8349.89714929068,14627.4017233962
"33",33,11392.016556459,8573.41224073119,14833.971474575
"34",34,10848.2198736764,8180.58872138797,14121.7946165166
"35",35,8548.11511812566,6435.01673077668,11182.6834910415
"36",36,11248.7932567454,8530.71626030185,14578.5669953912
"37",37,12124.5931624532,9080.04002307955,15595.5762363465
"38",38,15195.8155247684,11362.0499255388,19898.547202106
"39",39,13266.3432942147,9906.50057805914,17490.1195152166
"40",40,11264.7381363481,8459.97285576562,14588.9440009255
"41",41,11288.4182627548,8498.84675487457,14993.9376658733
