"","time","mean","conf.low","conf.high"
"1",1,9576.08702481035,7156.51824907295,12783.891205646
"2",2,9323.71576004937,6895.34503665694,12105.1281681435
"3",3,9186.46774174393,6943.46605351568,12020.5076506542
"4",4,10097.4750391873,7375.16466609131,13248.0189865347
"5",5,10007.7049171974,7428.21343174247,13101.6534789911
"6",6,10136.0283510119,7567.84393225184,13312.0645373483
"7",7,10311.9291178358,7771.36913708833,13265.7620767676
"8",8,9899.97687961605,7476.12271793114,13033.7971194408
"9",9,9726.16745987188,7342.41233696504,12699.0239770425
"10",10,9381.60813275629,7041.16467389596,12510.9310838902
"11",11,8918.48399149766,6598.96336846195,11829.6810982137
"12",12,8970.53109363195,6733.09921744364,11747.8925293204
"13",13,8645.43252874015,6538.5413140096,11292.6107531006
"14",14,8857.87699571074,6562.84728127821,11673.4441701218
"15",15,8866.91869291635,6740.44030764427,11606.5466695569
"16",16,8552.27641092557,6434.54107434537,11136.9288509256
"17",17,8568.17433099968,6469.64904785535,11280.2349164635
"18",18,8732.71297149948,6453.9418223228,11481.7708106565
"19",19,8843.07449366189,6505.6025521417,11879.7770705396
"20",20,9206.50010268635,6949.40182202934,12113.8928606159
"21",21,9207.84179945205,6927.80006147262,12000.8735836496
"22",22,9728.20563276182,7296.10577920912,12565.8111708493
"23",23,10224.7291161549,7599.41709511584,13401.9845584685
"24",24,10538.5988969826,7852.70575614796,13806.2338842103
"25",25,9674.30848798904,7274.42175708586,12563.7358373306
"26",26,9435.79834857683,7077.54098192043,12123.3364528179
"27",27,9355.47256039516,7074.38806947183,12227.8786047192
"28",28,9334.90074821189,6957.30461331894,12056.3741142845
"29",29,9257.70905421899,6922.3889020568,12158.0771698245
"30",30,9023.37021375581,6759.76015700608,11923.1298513043
"31",31,8831.07429545634,6564.92139218134,11736.0893186259
"32",32,8679.18576391895,6444.99565179846,11415.4749976307
"33",33,8567.91378596645,6471.47263377215,11343.6502339414
"34",34,8541.85002544997,6356.73419446639,11119.216973017
"35",35,8494.16197030294,6316.29044391219,11171.9473157212
"36",36,8876.52887035737,6568.1945173009,11820.6846531561
"37",37,9011.4272871726,6734.94231195148,11789.8039400473
"38",38,9428.7830247764,6918.30868666091,12461.0752933796
"39",39,9155.5025995768,6761.63885705812,12017.0692133106
"40",40,8929.01600651284,6725.86343485718,11642.0039672025
"41",41,9009.75400606606,6743.0410708072,11745.6040521298
"42",42,9498.16513003126,6994.54789839667,12532.3211698013
"43",43,9030.18040913646,6717.01394565675,11777.3808423176
